RSL,RSLer_up_2sd,Age,Age_up_er_2sd,RSLError,AgeError,AgeCE
-0.030352389,0.32040927264045205,-68,1,0.16020463632022602,0.5,2018
-0.069005802,0.3204107707006817,14,74,0.16020538535034085,37,1936
-0.107832927,0.3204130833950572,43,95,0.1602065416975286,47.5,1907
-0.14675457,0.32041635606508945,65.5,107.525,0.16020817803254472,53.7625,1884.5
-0.185732135,0.3204206129926731,86.5125,115.5125,0.16021030649633655,57.75625,1863.4875
-0.224759024,0.3204258712859622,106.97500000000001,117.05,0.1602129356429811,58.525,1843.025
-0.26382257,0.3204322622111119,143.5,116.5,0.16021613110555594,58.25,1806.5
-0.302951103,0.319753405,261.05,187.05,0.1598767023021965,93.525,1688.95
-0.342078769,0.3197618615126908,314.52500000000003,215.55,0.1598809307563454,107.775,1635.475
-0.381224695,0.31977136283201923,354.92499999999995,224.125,0.15988568141600962,112.0625,1595.075
-0.420397887,0.31978186555751587,386.48749999999995,238.5625,0.15989093277875793,119.28125,1563.5125
-0.459588663,0.31979340852313565,424.5125,253.6125,0.15989670426156782,126.80625,1525.4875
-0.498793716,0.3198060475159634,455.475,262.525,0.1599030237579817,131.2625,1494.525
-0.538023586,0.3198197619433232,489.91249999999997,257.1375,0.1599098809716616,128.56875,1460.0875
-0.577269311,0.3198345029001223,540.0125,240.0374999999999,0.15991725145006114,120.01874999999995,1409.9875
-0.616526198,0.3198502793886505,583.5125,235.51249999999993,0.15992513969432526,117.75624999999997,1366.4875
-0.655797012,0.31986701549400354,688.9375,243.08749999999998,0.15993350774700177,121.54374999999999,1261.0625
-0.695083187,0.31988487821501577,847.125,253.125,0.15994243910750788,126.5625,1102.875
-0.734375889,0.31990382903028636,1074,223,0.15995191451514318,111.5,876
-0.800639634,0.28662548832105367,1254.55,213.57500000000005,0.14331274416052683,106.78750000000002,695.45
-0.839957544,0.2866488669394308,1438.0125,294.01250000000005,0.1433244334697154,147.00625000000002,511.98749999999995
-0.879284769,0.28667348985165864,1516.4625,291.58749999999986,0.14333674492582932,145.79374999999993,433.5374999999999
-0.918623073,0.28669928327537064,1574.9625,295.0374999999999,0.14334964163768532,147.51874999999995,375.0374999999999
-0.957970181,0.28672617579654824,1641.5375,296.53750000000014,0.14336308789827412,148.26875000000007,308.4625000000001
-0.997324995,0.2867541681798895,1706.475,289.5500000000002,0.14337708408994476,144.7750000000001,243.5250000000001
-1.036690097,0.28678323186550536,1831.4875,286.51250000000005,0.14339161593275268,143.25625000000002,118.51250000000005
-1.076058933,0.2868134880235431,2025.0375,247.0625,0.14340674401177156,123.53125,-75.0375
-1.096484017,0.3004344404778654,2292.0375,271.0374999999999,0.1502172202389327,135.51874999999995,-342.0375
-1.135875216,0.30046558039296967,2489.5125,369.5125000000003,0.15023279019648483,184.75625000000014,-539.5125
-1.175272669,0.30049796406866025,2566.0125,410.0125000000003,0.15024898203433013,205.00625000000014,-616.0125
-1.21467617,0.30053121187770454,2620.5,433.5999999999999,0.15026560593885227,216.79999999999995,-670.5
-1.254088565,0.30056554327667334,2665.5249999999996,450.5500000000002,0.15028277163833667,225.2750000000001,-715.525
-1.293514541,0.3006011184616034,2713.5,468.5250000000001,0.1503005592308017,234.26250000000005,-763.5
-1.33293653,0.3006375327208032,2751.4125000000004,478.6124999999997,0.1503187663604016,239.30624999999986,-801.4125
-1.372378102,0.3006751455989829,2796.5125,477.5125000000003,0.15033757279949145,238.75625000000014,-846.5125
-1.411810407,0.30071411651296043,2840.475,479.5250000000001,0.15035705825648021,239.76250000000005,-890.475
-1.451256277,0.3007538250145293,2895,485.0250000000001,0.15037691250726465,242.51250000000005,-945
-1.490715379,0.30079477361264095,3050.05,534.0749999999998,0.15039738680632048,267.0374999999999,-1100.05
-1.530183704,0.30083659873405455,3136.4625,537.5374999999999,0.15041829936702727,268.76874999999995,-1186.4625
-1.569650617,0.3008798061019734,3176.9625,536.0875000000001,0.1504399030509867,268.04375000000005,-1226.9625
-1.609122975,0.30092392605879315,3241.4625,549.5374999999999,0.15046196302939657,274.76874999999995,-1291.4625
-1.666295442,0.28827212617554576,3303.5,553.5250000000001,0.14413606308777288,276.76250000000005,-1353.5
-1.705778615,0.28832052316763646,3340.9625,558.0875000000001,0.14416026158381823,279.04375000000005,-1390.9625
-1.745264165,0.2883699119514942,3370.9375,556.1374999999998,0.1441849559757471,278.0687499999999,-1420.9375
-1.784757341,0.28842054977338905,3395.5,547.5250000000001,0.14421027488669452,273.76250000000005,-1445.5
-1.824260224,0.2884720395687317,3424,537.0500000000002,0.14423601978436584,268.5250000000001,-1474
