component,RSL,RSLsd,yearBP,siteID,model_ranking
1,358.812853910029,1572.73995113407,-68,1,0
1,407.348889226094,1566.04242555472,14,1,0
1,420.9567945241,1568.24164721799,43,1,0
1,430.176572048571,1571.14871750487,65.5,1,0
1,437.71847372083,1574.65835872211,86.5125,1,0
1,444.067638092209,1578.70543338668,106.975,1,0
1,452.968905578367,1587.19582325405,143.5,1,0
1,461.186922763009,1621.48269651469,261.05,1,0
1,455.334593791049,1638.80446899816,314.525,1,0
1,447.365149729419,1652.0383860258,354.925,1,0
1,439.20674372511,1662.30238125329,386.4875,1,0
1,427.346845976543,1674.42950895934,424.5125,1,0
1,416.224080612883,1684.00902180056,455.475,1,0
1,402.50488162972,1694.25047916407,489.9125,1,0
1,380.437756940722,1708.18415769412,540.0125,1,0
1,359.710234316997,1719.18509952418,583.5125,1,0
1,306.117050089873,1740.92955554525,688.9375,1,0
1,226.44732330041,1759.7973769562,847.125,1,0
1,135.009915137663,1762.98284963257,1074,1,0
1,87.1603111741133,1752.49596024087,1254.55,1,0
1,54.1776755424216,1736.55943569457,1438.0125,1,0
1,41.3221716000699,1729.87301566055,1516.4625,1,0
1,30.8762378608808,1725.38126190968,1574.9625,1,0
1,17.0551091469824,1720.96521112503,1641.5375,1,0
1,0.529039345216006,1717.4640338097,1706.475,1,0
1,-43.8195268018171,1713.07675501177,1831.4875,1,0
1,-160.623791134451,1712.29623985012,2025.0375,1,0
1,-449.961940543726,1717.12803239618,2292.0375,1,0
1,-746.69795964146,1713.45667527312,2489.5125,1,0
1,-868.437535865698,1709.04427866804,2566.0125,1,0
1,-953.696524027735,1705.2274574158,2620.5,1,0
1,-1021.90616707318,1701.93942783996,2665.525,1,0
1,-1091.28240659274,1698.60785281836,2713.5,1,0
1,-1143.04982178798,1696.29873405114,2751.4125,1,0
1,-1200.43659710418,1694.08748705981,2796.5125,1,0
1,-1251.39833187871,1692.62318882184,2840.475,1,0
1,-1307.06096289353,1691.88896610836,2895,1,0
1,-1416.48913390422,1695.89961290202,3050.05,1,0
1,-1447.65904426062,1700.14422916916,3136.4625,1,0
1,-1456.02577379858,1701.98175837111,3176.9625,1,0
1,-1462.5665663518,1704.15589148837,3241.4625,1,0
1,-1462.62349990383,1704.9667436904,3303.5,1,0
1,-1460.47902105702,1704.73432419313,3340.9625,1,0
1,-1457.91114493413,1704.14113024093,3370.9375,1,0
1,-1455.39149183501,1703.39004834933,3395.5,1,0
1,-1452.14420512738,1702.23351557153,3424,1,0
1,-1449.20241691219,1701.01943261172,3448.3625,1,0
1,-1445.74167481018,1699.38686796985,3476.475,1,0
1,-1441.98895962909,1697.33950685471,3507.4875,1,0
1,-1437.50828330731,1694.41443158079,3547.35,1,0
1,-1433.14934028685,1690.77246277389,3593.4875,1,0
1,-1430.85619523702,1688.22595002911,3624.9875,1,0
1,-1429.38628097717,1686.02279509235,3652.4375,1,0
1,-1428.73895505536,1684.67919454563,3669.4875,1,0
1,-1428.11429477576,1682.39665539037,3699.3875,1,0
1,-1428.07505767094,1680.78994656425,3721.4625,1,0
1,-1428.27759188041,1679.6419107093,3737.95,1,0
1,-1428.6174147143,1678.67042361534,3752.4875,1,0
1,-1429.42931627342,1677.25275107337,3774.9125,1,0
1,-1431.0697868648,1675.49303869237,3805.4375,1,0
1,-1432.6935598175,1674.30253112957,3828.4875,1,0
1,-1435.07672261307,1673.02723018908,3856.425,1,0
1,-1437.25607367884,1672.15617818867,3878.425,1,0
1,-1440.74633103656,1671.13482250215,3909.325,1,0
1,-1448.26808080729,1669.8887791144,3964.9625,1,0
1,-1465.79107444361,1669.36565500669,4062.9625,1,0
1,-1484.04660889087,1669.97035611534,4137.85,1,0
1,-1500.67194438912,1670.61425316248,4191.45,1,0
1,-1513.87523440178,1671.03076338487,4227.425,1,0
1,-1537.01812928356,1671.50155176204,4280.9125,1,0
1,-1557.70998533396,1671.67385542298,4321.525,1,0
1,-1576.61091490323,1671.67121449884,4354.4125,1,0
1,-1594.96577755222,1671.55737316895,4383.425,1,0
1,-1612.06576453755,1671.37605271389,4408.3875,1,0
1,-1631.66298176255,1671.1002380335,4435,1,0
1,-1645.73180293618,1670.86771573879,4453,1,0
1,-1672.36631889781,1670.36822008565,4484.975,1,0
1,-1699.65971231321,1669.79790063555,4515.375,1,0
1,-1720.70482462971,1669.32918777903,4537.4625,1,0
1,-1749.90963688027,1668.64767643283,4566.475,1,0
1,-1784.76657925174,1667.79692715255,4599,1,0
1,-1839.08242214797,1666.40340598921,4645.975,1,0
1,-1894.93775357027,1664.88669632682,4690.4875,1,0
1,-2038.16403669817,1660.58188539701,4791.55,1,0
1,-2327.64180761389,1650.468169257,4958.525,1,0
1,-2503.53076241072,1644.31572297872,5045.05,1,0
1,-2568.10905373842,1642.22585668237,5074.9875,1,0
1,-2624.50957122259,1640.50905949586,5100.5125,1,0
1,-2668.29828295438,1639.25572831688,5119.9875,1,0
1,-2713.79762233933,1638.03392286596,5139.95,1,0
1,-2768.15359812323,1636.68972026141,5163.4875,1,0
1,-2856.07623033132,1634.79997721751,5201,1,0
1,-2909.37894743634,1633.83472326443,5223.5,1,0
1,-2949.89455646276,1633.19500944999,5240.525,1,0
1,-2980.86564354505,1632.76151172354,5253.5125,1,0
1,-3003.53689034516,1632.47481757336,5263.0125,1,0
1,-3026.17966631241,1632.21441462451,5272.5,1,0
1,-3051.19671666948,1631.95675268267,5282.9875,1,0
1,-3064.33603473241,1631.83409835608,5288.5,1,0
1,-3083.38590898411,1631.67155793827,5296.5,1,0
1,-3104.81262412155,1631.51042778039,5305.5125,1,0
1,-3153.30470818141,1631.22929413527,5325.9875,1,0
1,-3227.20684494963,1631.01766306717,5357.5,1,0
1,-3256.22620820859,1631.00324039222,5370.0125,1,0
1,-3281.52595107676,1631.02080649647,5381,1,0
1,-3294.14908091584,1631.03981141561,5386.5125,1,0
1,-3306.60893619945,1631.0650161187,5391.975,1,0
1,-3314.65107039176,1631.08471914189,5395.5125,1,0
1,-3333.80058109062,1631.1419118922,5403.975,1,0
1,-3348.42040799744,1631.19521740561,5410.475,1,0
1,-3368.52956121648,1631.28167327927,5419.475,1,0
1,-3381.90120994998,1631.34715297299,5425.5,1,0
1,-3389.6897635744,1631.38829563032,5429.025,1,0
1,-3406.09139881749,1631.48133990983,5436.4875,1,0
1,-3415.89614088228,1631.54120157555,5440.975,1,0
1,-3427.87900336506,1631.61835366832,5446.4875,1,0
1,-3436.5847929907,1631.67720168937,5450.5125,1,0
1,-3452.70636567893,1631.79176440501,5458.0125,1,0
1,-3466.57033537654,1631.8958926254,5464.5125,1,0
1,-3477.11232328927,1631.97833900271,5469.4875,1,0
1,-3504.42032417655,1632.20348853545,5482.5125,1,0
1,-3535.25318374159,1632.47450837713,5497.475,1,0
1,-3560.60747263953,1632.70719582104,5510,1,0
1,-3582.52407356212,1632.91257325296,5521,1,0
1,-3620.65120444307,1633.27125401771,5540.55,1,0
1,-3717.64951814339,1634.08277463024,5593,1,0
1,-3880.51345349196,1634.13179742565,5692.025,1,0
1,-3991.2573650023,1631.96611817919,5769.0125,1,0
1,-4048.20005109627,1629.73926492319,5811.9875,1,0
1,-4073.73147126753,1628.44579269503,5832.025,1,0
1,-4098.07036252879,1627.03067367677,5851.575,1,0
1,-4128.24232311081,1625.0210566452,5876.425,1,0
1,-4149.75286169257,1623.4124888119,5894.5625,1,0
1,-4174.11806496046,1621.41337502509,5915.5375,1,0
1,-4197.36944113299,1619.33250885446,5935.9875,1,0
1,-4223.52923399163,1616.79630512958,5959.5125,1,0
1,-4249.00750572095,1614.13991185569,5982.9625,1,0
1,-4274.54611769691,1611.31120260275,6007.0125,1,0
1,-4311.73179501621,1606.94832414797,6043.025,1,0
1,-4354.58596381173,1601.69007074768,6086,1,0
1,-4381.2584820888,1598.38363021704,6113.525,1,0
1,-4410.18321265653,1594.85714511503,6144,1,0
1,-4437.68009240692,1591.64250054546,6173.5,1,0
1,-4484.40400130814,1586.71703953826,6224.4875,1,0
1,-4567.35473799938,1580.50221815304,6315.5375,1,0
1,-4623.76581722172,1578.41844264678,6376,1,0
1,-4648.18133709673,1578.01333932321,6401.5125,1,0
1,-4664.18586634472,1577.89014849084,6417.9875,1,0
1,-4685.37076591467,1577.88159853276,6439.475,1,0
1,-4709.51542787813,1578.05906646867,6463.5,1,0
1,-4719.70710147824,1578.1858168846,6473.4875,1,0
1,-4730.02144263638,1578.34159987271,6483.5,1,0
1,-4738.85741296876,1578.49513214954,6492,1,0
1,-4745.14037174219,1578.61451943199,6498,1,0
