component,modelID,RSL,RSLsd,yearBP,siteID,model_ranking
1,1,-114461.076379545,2199.05442215993,18918,1,1
1,1,-114392.1966781,2192.5655944352,18818,1,1
1,1,-114195.828918525,2183.11580277806,18718,1,1
1,1,-113906.394135378,2171.90828409853,18618,1,1
1,1,-113561.217444003,2160.45355286349,18518,1,1
1,1,-113196.062947982,2150.60521955321,18418,1,1
1,1,-112840.638343163,2144.55077943831,18318,1,1
1,1,-112515.533929185,2144.71749972929,18218,1,1
1,1,-112233.151935816,2153.58471875296,18118,1,1
1,1,-112000.162391257,2173.46870782645,18018,1,1
1,1,-111818.907171069,2206.80153760629,17918,1,1
1,1,-111688.239074338,2256.89019825365,17818,1,1
1,1,-111604.384554034,2328.36451488867,17718,1,1
1,1,-111561.794473802,2426.72519666574,17618,1,1
1,1,-111553.982699259,2556.86071562468,17518,1,1
1,1,-111574.282738372,2721.06408847104,17418,1,1
1,1,-111616.187831858,2917.91778188782,17318,1,1
1,1,-111673.359082548,3142.54241747767,17218,1,1
1,1,-111739.600072607,3387.55628689887,17118,1,1
1,1,-111808.833463046,3644.19259355037,17018,1,1
1,1,-111875.079569296,3903.24092432665,16918,1,1
1,1,-111932.436861912,4155.70778813019,16818,1,1
1,1,-111975.064352607,4393.22817668309,16718,1,1
1,1,-111997.165837913,4608.30225629709,16618,1,1
1,1,-111992.975983871,4794.42426499353,16518,1,1
1,1,-111956.748247242,4946.15022297739,16418,1,1
1,1,-111882.744640312,5059.13284524015,16318,1,1
1,1,-111765.227358298,5130.13966268683,16218,1,1
1,1,-111598.452300682,5157.0629920962,16118,1,1
1,1,-111376.664530075,5138.9263490898,16018,1,1
1,1,-111094.095725142,5075.88987041124,15918,1,1
1,1,-110744.963697229,4969.25633990416,15818,1,1
1,1,-110323.474053896,4821.47903944625,15718,1,1
1,1,-109823.824106808,4636.17237992645,15618,1,1
1,1,-109240.209135962,4418.12576025383,15518,1,1
1,1,-108566.831137756,4173.31949641463,15418,1,1
1,1,-107797.910200172,3908.93761912355,15318,1,1
1,1,-106927.698665512,3633.36276711466,15218,1,1
1,1,-105950.498258319,3356.11860536455,15118,1,1
