"","SiteName","data_type_id","Age","Age_BP","Age_type","pred","upr","lwr","rate_pred","rate_upr","rate_lwr","CI"
"1",",
 ","ProxyRecord",-6146.0125,8096.0125,"BP",-11.5915057739244,-11.7566490655904,-11.4223614327467,0.820120815600793,-0.737777978784434,2.29566013148756,"95%"
"2",",
 ","ProxyRecord",-6096.0125,8046.0125,"BP",-11.5270497379464,-11.6440368218969,-11.4179475210521,1.73924251113449,0.54849601575228,2.85989067972501,"95%"
"3",",
 ","ProxyRecord",-6046.0125,7996.0125,"BP",-11.4194674462053,-11.500692615392,-11.3438804065269,2.54516728443499,1.68340076356404,3.36775067923375,"95%"
"4",",
 ","ProxyRecord",-5996.0125,7946.0125,"BP",-11.2744189328973,-11.3370929044393,-11.2115361770743,3.23789137380556,2.6264448118612,3.83271269753428,"95%"
"5",",
 ","ProxyRecord",-5946.0125,7896.0125,"BP",-11.0975642322191,-11.15647124278,-11.0379751825103,3.81741477924452,3.41478391558192,4.22745495126602,"95%"
"6",",
 ","ProxyRecord",-5896.0125,7846.0125,"BP",-10.8945633783672,-10.9538802492165,-10.8350212063197,4.28373750075582,4.01149448892424,4.57676725405624,"95%"
"7",",
 ","ProxyRecord",-5846.0125,7796.0125,"BP",-10.6710764055379,-10.7275593663775,-10.6139130806417,4.63685953833728,4.39926993304294,4.87937736565051,"95%"
"8",",
 ","ProxyRecord",-5796.0125,7746.0125,"BP",-10.4327633479278,-10.4864865688785,-10.3790867930564,4.87678089199013,4.61941946963458,5.14009458935833,"95%"
"9",",
 ","ProxyRecord",-5746.0125,7696.0125,"BP",-10.1852842397334,-10.2355164945449,-10.1359351738951,5.00350156171269,4.71695245457136,5.31162711990564,"95%"
"10",",
 ","ProxyRecord",-5696.0125,7646.0125,"BP",-9.93429911515114,-9.98019330581604,-9.88881861110597,5.01702154750262,4.7123974269412,5.34918446638178,"95%"
"11",",
 ","ProxyRecord",-5646.0125,7596.0125,"BP",-9.68546800837752,-9.73063320597861,-9.63920062743599,4.91734084936545,4.63165639062251,5.23492059530508,"95%"
