"","year","lat","lon","mhhw(m)","mhw(m)","mtl(m)","mlw(m)","mllw(m)","range(m)","HAT(m)","model"
"1",1,16.78,-87.86,0.00172067039106145,0.00174927113702623,0.001,-0.00182456140350876,-0.00226111111111112,0.00401392757660168,0.00443947858472998,"Hill et al. (2011)"
"2",1,16.75,-87.8,0.00191596638655463,0.00163556851311952,0.001,-0.00167251461988303,-0.00250696378830084,0.00420223152022314,0.00443947858472998,"Hill et al. (2011)"
"3",1,16.78,-87.83,0.00172067039106145,0.00178425655976676,0.001,-0.00182456140350876,-0.00247353760445683,0.00420223152022314,0.00443947858472998,"Hill et al. (2011)"
"4",1,17.2,-87.53,0.00192676056338029,0.00164516129032257,0.001,-0.00168235294117646,-0.00252808988764046,0.00407865168539326,0.00419324577861163,"Hill et al. (2011)"
"5",1,17.33,-87.79,0.00173033707865169,0.00160818713450292,0,-0.00164516129032257,-0.00224929971988795,0.00416129032258064,0.00441275797373358,"Hill et al. (2011)"
"6",1,17.55,-87.75,0.00173521126760563,0.00161290322580644,0,-0.00180530973451327,-0.00246760563380281,0.00399156118143459,0.00440754716981132,"Hill et al. (2011)"
"7",1,16.9,-88.06,0.00167847411444142,0.00173863636363637,NA,-0.00162039660056657,-0.00243243243243244,0.00411940298507463,0.00409335727109514,"Hill et al. (2011)"
"8",1,17.06,-88,0.00170165745856354,0.00158045977011494,NA,-0.00179827089337176,-0.00243956043956044,0.00411845730027549,0.0040934065934066,"Hill et al. (2011)"
"9",1,17.23,-88.05,0.00167847411444142,0.00158923512747876,0,-0.00164689265536724,-0.00222371967654987,0.00390514905149053,0.00405913978494621,"Hill et al. (2011)"
"10",1,17.47,-88.04,0.00168306010928962,0.0015982905982906,NA,-0.00178285714285714,-0.00221798365122616,0.00390710382513662,0.00433454545454542,"Hill et al. (2011)"
"11",1,16.45,-88.03,0.00172252747252748,0.00160285714285714,NA,-0.00178796561604585,-0.00245231607629429,0.00396721311475409,0.00442987249544624,"Hill et al. (2011)"
"12",1,16.8,-88.08,0.00167391304347826,0.00173371104815864,NA,-0.00161581920903955,-0.00242587601078167,0.0039296346414073,0.00439497307001793,"Hill et al. (2011)"
"13",1,16.1,-88.25,0.00171780821917809,0.00156695156695157,0.001,-0.00175358166189112,-0.0024390243902439,0.00413623978201635,0.00442181818181817,"Hill et al. (2011)"
"14",1,16.26,-88.17,0.00171780821917809,0.00171428571428572,0.001,-0.00178796561604585,-0.00244565217391304,0.00396180081855388,0.00442987249544624,"Hill et al. (2011)"
"15",1,16.96,-88.05,0.00170380434782609,0.00173371104815864,Inf,-0.00179661016949153,-0.00221774193548387,0.00392432432432432,0.00409821428571425,"Hill et al. (2011)"
