datum,level
HAT,0.83804
MHWS,0.704188856332703
MHW,0.680507725174929
MHWN,0.664219990786241
MSL,0.600318203969791
MTL,0.588387730811912
MLWN,0.513923561374795
MLW,0.496267736448895
MLWS,0.481069522665866
LAT,0.34423
