"","age","RSL","model"
"111",-7.5,-6.42,"ANU_3D_Mantle"
"112",-7,-3.16,"ANU_3D_Mantle"
"113",-6.5,-1.86,"ANU_3D_Mantle"
"114",-6,-0.81,"ANU_3D_Mantle"
"115",-5.5,-0.68,"ANU_3D_Mantle"
"116",-5,-0.5,"ANU_3D_Mantle"
"117",-4.5,-0.31,"ANU_3D_Mantle"
"118",-4,-0.08,"ANU_3D_Mantle"
"119",-3.5,0.09,"ANU_3D_Mantle"
"120",-3,0.28,"ANU_3D_Mantle"
"121",-2.5,0.36,"ANU_3D_Mantle"
"122",-2,0.45,"ANU_3D_Mantle"
"123",-1.5,0.33,"ANU_3D_Mantle"
"124",-1,0.25,"ANU_3D_Mantle"
"125",-0.5,0.18,"ANU_3D_Mantle"
"126",0,0,"ANU_3D_Mantle"
"127",-10,-36.33,"ANU_Ant_Delay_1ka"
"128",-9.5,-28.57,"ANU_Ant_Delay_1ka"
"129",-9,-22.4,"ANU_Ant_Delay_1ka"
"130",-8.5,-19.91,"ANU_Ant_Delay_1ka"
"131",-8,-16.34,"ANU_Ant_Delay_1ka"
"132",-7.5,-9.44,"ANU_Ant_Delay_1ka"
"133",-7,-5,"ANU_Ant_Delay_1ka"
"134",-6.5,-2.78,"ANU_Ant_Delay_1ka"
"135",-6,-0.84,"ANU_Ant_Delay_1ka"
"136",-5.5,-0.26,"ANU_Ant_Delay_1ka"
"137",-5,0.34,"ANU_Ant_Delay_1ka"
"138",-4.5,0.31,"ANU_Ant_Delay_1ka"
"139",-4,0.34,"ANU_Ant_Delay_1ka"
"140",-3.5,0.37,"ANU_Ant_Delay_1ka"
"141",-3,0.42,"ANU_Ant_Delay_1ka"
"142",-2.5,0.45,"ANU_Ant_Delay_1ka"
"143",-2,0.51,"ANU_Ant_Delay_1ka"
"144",-1.5,0.46,"ANU_Ant_Delay_1ka"
"145",-1,0.46,"ANU_Ant_Delay_1ka"
"146",-0.5,0.22,"ANU_Ant_Delay_1ka"
"147",0,0,"ANU_Ant_Delay_1ka"
"148",-10,-49.19,"ANU_Global_Delay_1ka"
"149",-9.5,-42.91,"ANU_Global_Delay_1ka"
"150",-9,-34.59,"ANU_Global_Delay_1ka"
"151",-8.5,-26.32,"ANU_Global_Delay_1ka"
"152",-8,-19.19,"ANU_Global_Delay_1ka"
"153",-7.5,-12.8,"ANU_Global_Delay_1ka"
