"","Depth","lwr_true","median_true","upr_true","lwr_2sd","median","upr_2sd","test_error","subset","runID","nfold"
"1",0,-72.8,-69,-65.2,299.9,1343,1542.05,576.112917534401,"1","Set1_thinned_2",5
"2",69,336.45,506,623.55,745.9,1428,1564.125,576.112917534401,"1","Set1_thinned_2",5
"3",104.5,1381.95,1514,1687.05,904.975,1449,2171.05,576.112917534401,"1","Set1_thinned_2",5
"4",148,2360.7,2545,2729.3,1902.875,2680,3545.175,576.112917534401,"1","Set1_thinned_2",5
"5",196.5,3848.45,4009,4217.55,2751.925,3172,4215.725,576.112917534401,"1","Set1_thinned_2",5
"6",334,4655.4,4864,5029.6,4167.925,4600.5,5045.15,576.112917534401,"1","Set1_thinned_2",5
"7",407,5493.275,5687.5,5878.725,4909,5093,5316,576.112917534401,"1","Set1_thinned_2",5
"8",502,5067.1,5355,5560.9,5711.975,5883,6056.075,576.112917534401,"1","Set1_thinned_2",5
"9",574,5937.5,6099,6269.5,5518.975,5952.5,6466.05,576.112917534401,"1","Set1_thinned_2",5
"10",643.5,6814,7023,7233.95,6107,6310,6668.075,576.112917534401,"1","Set1_thinned_2",5
"11",670,6681.575,6844.5,7141.425,6246,6412,6558.075,576.112917534401,"1","Set1_thinned_2",5
"12",767,6410.925,6561.5,6725.075,6875,6981,7080.025,576.112917534401,"1","Set1_thinned_2",5
"13",850.5,6899.775,7066.5,7242.225,7092.975,7345,7602.05,576.112917534401,"1","Set1_thinned_2",5
"14",937.5,7585.75,7714,7842.25,7213,7496,7662.025,576.112917534401,"1","Set1_thinned_2",5
"15",1046.5,7585.75,7714,7842.25,7750,7845,7942.025,576.112917534401,"1","Set1_thinned_2",5
"16",1144.5,7852.05,7995,8158.95,7746.925,8078,9419.025,576.112917534401,"1","Set1_thinned_2",5
"17",0,-72.8,-69,-65.2,-55,64,239.025,1366.25213806307,"1","Set1_thinned_3",5
"18",24.5,7.275,145.5,283.725,39.975,302,1063.15,1366.25213806307,"1","Set1_thinned_3",5
"19",76.5,6866.625,7042.5,7237.375,377,1073,1394.025,1366.25213806307,"1","Set1_thinned_3",5
"20",104.5,1381.95,1514,1687.05,1172.95,1851,2450.175,1366.25213806307,"1","Set1_thinned_3",5
"21",148,2360.7,2545,2729.3,1663.625,2265,3471.3,1366.25213806307,"1","Set1_thinned_3",5
"22",160.5,3585.875,3754.5,3951.125,1722.65,2479,3562.25,1366.25213806307,"1","Set1_thinned_3",5
"23",256.5,3941.675,4171.5,4392.325,3932.975,4364,4732.05,1366.25213806307,"1","Set1_thinned_3",5
"24",334,4655.4,4864,5029.6,4378,4906.5,5397,1366.25213806307,"1","Set1_thinned_3",5
"25",407,5493.275,5687.5,5878.725,4973.875,5269,5597.025,1366.25213806307,"1","Set1_thinned_3",5
"26",481.5,5601.825,5750.5,5899.175,5648,5765,5922.075,1366.25213806307,"1","Set1_thinned_3",5
"27",552.5,6747.225,6922.5,7146.775,5841,6020,6288.025,1366.25213806307,"1","Set1_thinned_3",5
"28",574,5937.5,6099,6269.5,5873.975,6084,6318,1366.25213806307,"1","Set1_thinned_3",5
"29",643.5,6814,7023,7233.95,6200.975,6453,6774.025,1366.25213806307,"1","Set1_thinned_3",5
"30",649,6413.3,6571,6728.7,6214.95,6476,6784.025,1366.25213806307,"1","Set1_thinned_3",5
"31",749,6752.25,6947,7146.75,6516,6600,6654.05,1366.25213806307,"1","Set1_thinned_3",5
"32",767,6410.925,6561.5,6725.075,6857,6972,7250.025,1366.25213806307,"1","Set1_thinned_3",5
"33",850.5,6899.775,7066.5,7242.225,6976.925,7184,7465.025,1366.25213806307,"1","Set1_thinned_3",5
"34",870.5,7267.15,7384,7500.85,6997.975,7238,7487,1366.25213806307,"1","Set1_thinned_3",5
"35",1002.5,7493.875,7594.5,7687.125,7464.975,7611,7698.05,1366.25213806307,"1","Set1_thinned_3",5
"36",1046.5,7585.75,7714,7842.25,7609.95,7775,8551.2,1366.25213806307,"1","Set1_thinned_3",5
"37",1144.5,7852.05,7995,8158.95,7651.975,8107.5,9453.4,1366.25213806307,"1","Set1_thinned_3",5
"38",0,-72.8,-69,-65.2,-59,61,237.025,403.501303694713,"1","Set1_thinned_4",5
"39",24.5,7.275,145.5,283.725,0,139,379.1,403.501303694713,"1","Set1_thinned_4",5
"40",69,336.45,506,623.55,365.825,934.5,1890.075,403.501303694713,"1","Set1_thinned_4",5
"41",104.5,1381.95,1514,1687.05,617.975,1535,2180.075,403.501303694713,"1","Set1_thinned_4",5
"42",144.5,3180.9,3319,3450.1,2193,2485.5,2624.025,403.501303694713,"1","Set1_thinned_4",5
"43",148,2360.7,2545,2729.3,3290,3395,3609.05,403.501303694713,"1","Set1_thinned_4",5
"44",196.5,3848.45,4009,4217.55,2775.95,3282.5,3869.15,403.501303694713,"1","Set1_thinned_4",5
"45",256.5,3941.675,4171.5,4392.325,4128.9,4387.5,4705,403.501303694713,"1","Set1_thinned_4",5
"46",334,4655.4,4864,5029.6,4405,4925,5443,403.501303694713,"1","Set1_thinned_4",5
"47",407,5493.275,5687.5,5878.725,4909,5091,5318,403.501303694713,"1","Set1_thinned_4",5
"48",481.5,5601.825,5750.5,5899.175,5072.9,5327,5415.025,403.501303694713,"1","Set1_thinned_4",5
"49",502,5067.1,5355,5560.9,5739,5884.5,6037.025,403.501303694713,"1","Set1_thinned_4",5
"50",574,5937.5,6099,6269.5,6196.975,6475,6610.05,403.501303694713,"1","Set1_thinned_4",5
"51",595.5,6480.15,6632.5,6781.175,6083.975,6225,6484.025,403.501303694713,"1","Set1_thinned_4",5
"52",643.5,6814,7023,7233.95,6644.925,6741,6812.075,403.501303694713,"1","Set1_thinned_4",5
"53",670,6681.575,6844.5,7141.425,6919.975,7000,7086,403.501303694713,"1","Set1_thinned_4",5
"54",749,6752.25,6947,7146.75,6965,7048,7126.025,403.501303694713,"1","Set1_thinned_4",5
"55",767,6410.925,6561.5,6725.075,6971,7058,7135,403.501303694713,"1","Set1_thinned_4",5
"56",850.5,6899.775,7066.5,7242.225,7203.975,7323,7402.025,403.501303694713,"1","Set1_thinned_4",5
"57",870.5,7267.15,7384,7500.85,7081.95,7196,7445.025,403.501303694713,"1","Set1_thinned_4",5
"58",937.5,7585.75,7714,7842.25,7179.95,7382.5,7601.075,403.501303694713,"1","Set1_thinned_4",5
"59",1046.5,7585.75,7714,7842.25,7712.975,7800,7886,403.501303694713,"1","Set1_thinned_4",5
"60",1078.5,7688.15,7824,7959.85,7739,7825,7931,403.501303694713,"1","Set1_thinned_4",5
"61",1144.5,7852.05,7995,8158.95,7857.975,8091.5,8820.05,403.501303694713,"1","Set1_thinned_4",5
"62",0,-72.8,-69,-65.2,-53.05,2259,3037.025,1470.87689151744,"1","Set1_thinned_5",5
"63",24.5,7.275,145.5,283.725,9.925,141,373,1470.87689151744,"1","Set1_thinned_5",5
"64",69,336.45,506,623.55,695,2753,3253.075,1470.87689151744,"1","Set1_thinned_5",5
"65",76.5,6866.625,7042.5,7237.375,574.975,713,1575.7,1470.87689151744,"1","Set1_thinned_5",5
"66",144.5,3180.9,3319,3450.1,1761.7,2480.5,2632.05,1470.87689151744,"1","Set1_thinned_5",5
"67",148,2360.7,2545,2729.3,3290.975,3395,3605.175,1470.87689151744,"1","Set1_thinned_5",5
"68",160.5,3585.875,3754.5,3951.125,3397.925,3552,3807.05,1470.87689151744,"1","Set1_thinned_5",5
"69",196.5,3848.45,4009,4217.55,3791.975,4002.5,4510.075,1470.87689151744,"1","Set1_thinned_5",5
"70",334,4655.4,4864,5029.6,4514.7,5146,5348.025,1470.87689151744,"1","Set1_thinned_5",5
"71",361.5,5304.825,5434.5,5573.175,4885.95,5022,5456.05,1470.87689151744,"1","Set1_thinned_5",5
"72",407,5493.275,5687.5,5878.725,4979.975,5280,5611.05,1470.87689151744,"1","Set1_thinned_5",5
"73",481.5,5601.825,5750.5,5899.175,5734.925,6010,6305.05,1470.87689151744,"1","Set1_thinned_5",5
"74",552.5,6747.225,6922.5,7146.775,5879,6029,6152.025,1470.87689151744,"1","Set1_thinned_5",5
"75",574,5937.5,6099,6269.5,6258.875,6515,6648,1470.87689151744,"1","Set1_thinned_5",5
"76",595.5,6480.15,6632.5,6781.175,6083.975,6260.5,6529.25,1470.87689151744,"1","Set1_thinned_5",5
"77",643.5,6814,7023,7233.95,6606.975,6717,6831.025,1470.87689151744,"1","Set1_thinned_5",5
"78",670,6681.575,6844.5,7141.425,6630.975,6753.5,6859.025,1470.87689151744,"1","Set1_thinned_5",5
"79",749,6752.25,6947,7146.75,6489.975,6891,7036,1470.87689151744,"1","Set1_thinned_5",5
"80",767,6410.925,6561.5,6725.075,6928.95,7028.5,7245.025,1470.87689151744,"1","Set1_thinned_5",5
"81",844.5,6866.625,7042.5,7237.375,7078.95,7278,7377.025,1470.87689151744,"1","Set1_thinned_5",5
"82",870.5,7267.15,7384,7500.85,7167.9,7289,7547.075,1470.87689151744,"1","Set1_thinned_5",5
"83",937.5,7585.75,7714,7842.25,7386,7486,7579,1470.87689151744,"1","Set1_thinned_5",5
"84",1002.5,7493.875,7594.5,7687.125,7696,7792,7920,1470.87689151744,"1","Set1_thinned_5",5
"85",1046.5,7585.75,7714,7842.25,7732.925,7846,7953,1470.87689151744,"1","Set1_thinned_5",5
"86",1144.5,7852.05,7995,8158.95,7734.925,8011,8945.275,1470.87689151744,"1","Set1_thinned_5",5
"87",0,-72.8,-69,-65.2,-56.025,60,235.025,1241.34691503284,"1","Set1_thinned_6",5
"88",24.5,7.275,145.5,283.725,0.975,140,387.375,1241.34691503284,"1","Set1_thinned_6",5
"89",69,336.45,506,623.55,366.95,897,1305.05,1241.34691503284,"1","Set1_thinned_6",5
"90",76.5,6866.625,7042.5,7237.375,436.925,1019,1349.075,1241.34691503284,"1","Set1_thinned_6",5
"91",104.5,1381.95,1514,1687.05,1139.7,1689,2317.2,1241.34691503284,"1","Set1_thinned_6",5
"92",148,2360.7,2545,2729.3,2163.925,3243.5,3602.25,1241.34691503284,"1","Set1_thinned_6",5
"93",160.5,3585.875,3754.5,3951.125,2653.95,2940,3563.225,1241.34691503284,"1","Set1_thinned_6",5
"94",196.5,3848.45,4009,4217.55,3772.975,3896,4072.05,1241.34691503284,"1","Set1_thinned_6",5
"95",256.5,3941.675,4171.5,4392.325,4131.975,4399,4700.025,1241.34691503284,"1","Set1_thinned_6",5
"96",334,4655.4,4864,5029.6,4409.925,4922,5420.175,1241.34691503284,"1","Set1_thinned_6",5
"97",407,5493.275,5687.5,5878.725,4934.975,5096,5306.025,1241.34691503284,"1","Set1_thinned_6",5
"98",481.5,5601.825,5750.5,5899.175,5111.9,5335,5407.025,1241.34691503284,"1","Set1_thinned_6",5
"99",502,5067.1,5355,5560.9,5716.95,5814,5943.025,1241.34691503284,"1","Set1_thinned_6",5
"100",552.5,6747.225,6922.5,7146.775,5602.875,5865,6022.125,1241.34691503284,"1","Set1_thinned_6",5
"101",574,5937.5,6099,6269.5,6024,6257,6460.025,1241.34691503284,"1","Set1_thinned_6",5
"102",643.5,6814,7023,7233.95,6311.95,6622.5,6759,1241.34691503284,"1","Set1_thinned_6",5
"103",649,6413.3,6571,6728.7,6333.975,6659,6775.025,1241.34691503284,"1","Set1_thinned_6",5
"104",670,6681.575,6844.5,7141.425,6541.975,6654,6811.05,1241.34691503284,"1","Set1_thinned_6",5
"105",749,6752.25,6947,7146.75,6808.975,6914,7034,1241.34691503284,"1","Set1_thinned_6",5
"106",767,6410.925,6561.5,6725.075,6838,6944,7048,1241.34691503284,"1","Set1_thinned_6",5
"107",850.5,6899.775,7066.5,7242.225,7192,7317,7391.05,1241.34691503284,"1","Set1_thinned_6",5
"108",870.5,7267.15,7384,7500.85,7101,7229,7421.075,1241.34691503284,"1","Set1_thinned_6",5
"109",937.5,7585.75,7714,7842.25,7394.975,7500,7642,1241.34691503284,"1","Set1_thinned_6",5
"110",1002.5,7493.875,7594.5,7687.125,7467.975,7612,7709.05,1241.34691503284,"1","Set1_thinned_6",5
"111",1046.5,7585.75,7714,7842.25,7651.975,7751,7919.025,1241.34691503284,"1","Set1_thinned_6",5
"112",1144.5,7852.05,7995,8158.95,7711.925,7990,8959.25,1241.34691503284,"1","Set1_thinned_6",5
"113",0,-72.8,-69,-65.2,-58,66,232,1231.79226919333,"1","Set1_thinned_7",5
"114",24.5,7.275,145.5,283.725,7.975,139,386,1231.79226919333,"1","Set1_thinned_7",5
"115",69,336.45,506,623.55,302.7,844,1217.15,1231.79226919333,"1","Set1_thinned_7",5
"116",76.5,6866.625,7042.5,7237.375,588.975,798,1992.05,1231.79226919333,"1","Set1_thinned_7",5
"117",104.5,1381.95,1514,1687.05,863.725,1845,2845,1231.79226919333,"1","Set1_thinned_7",5
"118",144.5,3180.9,3319,3450.1,2202.4,3104,3518.1,1231.79226919333,"1","Set1_thinned_7",5
"119",160.5,3585.875,3754.5,3951.125,3363.95,3545,3845,1231.79226919333,"1","Set1_thinned_7",5
"120",196.5,3848.45,4009,4217.55,3786.975,3904,4065.025,1231.79226919333,"1","Set1_thinned_7",5
"121",256.5,3941.675,4171.5,4392.325,4119,4394,4705.1,1231.79226919333,"1","Set1_thinned_7",5
"122",334,4655.4,4864,5029.6,4521.825,5071.5,5326.05,1231.79226919333,"1","Set1_thinned_7",5
"123",361.5,5304.825,5434.5,5573.175,4955,5146,5452.125,1231.79226919333,"1","Set1_thinned_7",5
"124",407,5493.275,5687.5,5878.725,5290,5370,5427.025,1231.79226919333,"1","Set1_thinned_7",5
"125",502,5067.1,5355,5560.9,5661,5802,5982,1231.79226919333,"1","Set1_thinned_7",5
"126",552.5,6747.225,6922.5,7146.775,6004.9,6302,6498.05,1231.79226919333,"1","Set1_thinned_7",5
"127",574,5937.5,6099,6269.5,6111,6417,6541,1231.79226919333,"1","Set1_thinned_7",5
"128",595.5,6480.15,6632.5,6781.175,6066,6184,6335,1231.79226919333,"1","Set1_thinned_7",5
"129",643.5,6814,7023,7233.95,6542.975,6615,6660.025,1231.79226919333,"1","Set1_thinned_7",5
"130",649,6413.3,6571,6728.7,6652,6812,6937.025,1231.79226919333,"1","Set1_thinned_7",5
"131",749,6752.25,6947,7146.75,6631.975,6792,6940.025,1231.79226919333,"1","Set1_thinned_7",5
"132",767,6410.925,6561.5,6725.075,6662.925,6827,6958.025,1231.79226919333,"1","Set1_thinned_7",5
"133",844.5,6866.625,7042.5,7237.375,6998.975,7107,7205.075,1231.79226919333,"1","Set1_thinned_7",5
"134",850.5,6899.775,7066.5,7242.225,7085,7181,7263.025,1231.79226919333,"1","Set1_thinned_7",5
"135",870.5,7267.15,7384,7500.85,7112.925,7211,7501.075,1231.79226919333,"1","Set1_thinned_7",5
"136",937.5,7585.75,7714,7842.25,7202.975,7410,7693.075,1231.79226919333,"1","Set1_thinned_7",5
"137",1046.5,7585.75,7714,7842.25,7447.975,7725.5,7850.025,1231.79226919333,"1","Set1_thinned_7",5
"138",1078.5,7688.15,7824,7959.85,7746.975,7825,7930.025,1231.79226919333,"1","Set1_thinned_7",5
"139",1144.5,7852.05,7995,8158.95,7854,8084,8822.025,1231.79226919333,"1","Set1_thinned_7",5
"140",0,-72.8,-69,-65.2,-54,68,242,1240.65744739864,"1","Set1_thinned_8",5
"141",24.5,7.275,145.5,283.725,-11,141,402.05,1240.65744739864,"1","Set1_thinned_8",5
"142",69,336.45,506,623.55,313.825,854,1202,1240.65744739864,"1","Set1_thinned_8",5
"143",76.5,6866.625,7042.5,7237.375,599.975,725,1153,1240.65744739864,"1","Set1_thinned_8",5
"144",104.5,1381.95,1514,1687.05,1176.85,1980.5,2962,1240.65744739864,"1","Set1_thinned_8",5
"145",144.5,3180.9,3319,3450.1,2051.575,2478,2622,1240.65744739864,"1","Set1_thinned_8",5
"146",148,2360.7,2545,2729.3,3286,3394,3615.425,1240.65744739864,"1","Set1_thinned_8",5
"147",196.5,3848.45,4009,4217.55,3076.95,3792,4065.05,1240.65744739864,"1","Set1_thinned_8",5
"148",256.5,3941.675,4171.5,4392.325,4105.875,4377,4710.05,1240.65744739864,"1","Set1_thinned_8",5
"149",334,4655.4,4864,5029.6,4470.975,5047.5,5311.025,1240.65744739864,"1","Set1_thinned_8",5
"150",361.5,5304.825,5434.5,5573.175,4968,5144.5,5427.075,1240.65744739864,"1","Set1_thinned_8",5
"151",407,5493.275,5687.5,5878.725,5403.975,5514,5670.025,1240.65744739864,"1","Set1_thinned_8",5
"152",481.5,5601.825,5750.5,5899.175,5663,5794,5972,1240.65744739864,"1","Set1_thinned_8",5
"153",502,5067.1,5355,5560.9,5761,5889,6025.2,1240.65744739864,"1","Set1_thinned_8",5
"154",574,5937.5,6099,6269.5,5950.9,6347,6516.025,1240.65744739864,"1","Set1_thinned_8",5
"155",595.5,6480.15,6632.5,6781.175,6108,6247,6437.125,1240.65744739864,"1","Set1_thinned_8",5
"156",643.5,6814,7023,7233.95,6366.975,6527,6612,1240.65744739864,"1","Set1_thinned_8",5
"157",649,6413.3,6571,6728.7,6666,6775,6901.025,1240.65744739864,"1","Set1_thinned_8",5
"158",670,6681.575,6844.5,7141.425,6580,6682,6815.025,1240.65744739864,"1","Set1_thinned_8",5
"159",749,6752.25,6947,7146.75,6812.975,6918,7035,1240.65744739864,"1","Set1_thinned_8",5
"160",767,6410.925,6561.5,6725.075,6899.975,6965,7063.025,1240.65744739864,"1","Set1_thinned_8",5
"161",850.5,6899.775,7066.5,7242.225,7209,7324,7396,1240.65744739864,"1","Set1_thinned_8",5
"162",870.5,7267.15,7384,7500.85,7080,7216,7442.025,1240.65744739864,"1","Set1_thinned_8",5
"163",937.5,7585.75,7714,7842.25,7393.975,7486,7569,1240.65744739864,"1","Set1_thinned_8",5
"164",1002.5,7493.875,7594.5,7687.125,7644,7703,7760,1240.65744739864,"1","Set1_thinned_8",5
"165",1046.5,7585.75,7714,7842.25,7679.975,7755,7845.1,1240.65744739864,"1","Set1_thinned_8",5
"166",1078.5,7688.15,7824,7959.85,7727.95,7802.5,7910.025,1240.65744739864,"1","Set1_thinned_8",5
"167",1144.5,7852.05,7995,8158.95,7880.975,8167,8884.625,1240.65744739864,"1","Set1_thinned_8",5
"168",0,-72.8,-69,-65.2,-22.025,353.5,507.025,1191.70318167499,"1","Set1_thinned_9",5
"169",24.5,7.275,145.5,283.725,73.95,409.5,516,1191.70318167499,"1","Set1_thinned_9",5
"170",69,336.45,506,623.55,322.75,945,1880.05,1191.70318167499,"1","Set1_thinned_9",5
"171",76.5,6866.625,7042.5,7237.375,360.95,1082.5,1977.15,1191.70318167499,"1","Set1_thinned_9",5
"172",104.5,1381.95,1514,1687.05,545.7,1596.5,2221.125,1191.70318167499,"1","Set1_thinned_9",5
"173",144.5,3180.9,3319,3450.1,2156.725,2501,2627.025,1191.70318167499,"1","Set1_thinned_9",5
"174",148,2360.7,2545,2729.3,3346,3438,3527.025,1191.70318167499,"1","Set1_thinned_9",5
"175",160.5,3585.875,3754.5,3951.125,2596.975,3503,3956.025,1191.70318167499,"1","Set1_thinned_9",5
"176",256.5,3941.675,4171.5,4392.325,3952.975,4366,4736.25,1191.70318167499,"1","Set1_thinned_9",5
"177",334,4655.4,4864,5029.6,4486.775,5061,5282,1191.70318167499,"1","Set1_thinned_9",5
"178",361.5,5304.825,5434.5,5573.175,4859,4964,5350.05,1191.70318167499,"1","Set1_thinned_9",5
"179",407,5493.275,5687.5,5878.725,4895,5108,5516.25,1191.70318167499,"1","Set1_thinned_9",5
"180",481.5,5601.825,5750.5,5899.175,5661.975,5803,6062.125,1191.70318167499,"1","Set1_thinned_9",5
"181",502,5067.1,5355,5560.9,5753,5881,5985.1,1191.70318167499,"1","Set1_thinned_9",5
"182",552.5,6747.225,6922.5,7146.775,5879,6015,6124.025,1191.70318167499,"1","Set1_thinned_9",5
"183",574,5937.5,6099,6269.5,5971.95,6232,6462.05,1191.70318167499,"1","Set1_thinned_9",5
"184",643.5,6814,7023,7233.95,6345.975,6517,6610,1191.70318167499,"1","Set1_thinned_9",5
"185",649,6413.3,6571,6728.7,6408,6652,6819,1191.70318167499,"1","Set1_thinned_9",5
"186",670,6681.575,6844.5,7141.425,6505,6620,6765.025,1191.70318167499,"1","Set1_thinned_9",5
"187",749,6752.25,6947,7146.75,6806.975,6914,7031.05,1191.70318167499,"1","Set1_thinned_9",5
"188",767,6410.925,6561.5,6725.075,6878.975,6942,7004.05,1191.70318167499,"1","Set1_thinned_9",5
"189",844.5,6866.625,7042.5,7237.375,7020.975,7116,7218.025,1191.70318167499,"1","Set1_thinned_9",5
"190",850.5,6899.775,7066.5,7242.225,7066,7176,7268.1,1191.70318167499,"1","Set1_thinned_9",5
"191",870.5,7267.15,7384,7500.85,7113,7210,7423.025,1191.70318167499,"1","Set1_thinned_9",5
"192",1002.5,7493.875,7594.5,7687.125,7453,7609,7696.025,1191.70318167499,"1","Set1_thinned_9",5
"193",1046.5,7585.75,7714,7842.25,7637.975,7739,7819,1191.70318167499,"1","Set1_thinned_9",5
"194",1078.5,7688.15,7824,7959.85,7731.875,7806,7918.025,1191.70318167499,"1","Set1_thinned_9",5
"195",1144.5,7852.05,7995,8158.95,7832.925,8050,8701.45,1191.70318167499,"1","Set1_thinned_9",5
"196",0,-72.8,-69,-65.2,-61,58.5,240.025,1266.67773060644,"1","Set1_thinned_10",5
"197",24.5,7.275,145.5,283.725,-2.025,139,382,1266.67773060644,"1","Set1_thinned_10",5
"198",69,336.45,506,623.55,359.75,838,1221,1266.67773060644,"1","Set1_thinned_10",5
"199",76.5,6866.625,7042.5,7237.375,592.975,721.5,1160,1266.67773060644,"1","Set1_thinned_10",5
"200",104.5,1381.95,1514,1687.05,1306.85,2055.5,2935.275,1266.67773060644,"1","Set1_thinned_10",5
"201",144.5,3180.9,3319,3450.1,2094.975,2493.5,2629.025,1266.67773060644,"1","Set1_thinned_10",5
"202",148,2360.7,2545,2729.3,3347,3441.5,3521.025,1266.67773060644,"1","Set1_thinned_10",5
"203",160.5,3585.875,3754.5,3951.125,2686.95,2981,3785.15,1266.67773060644,"1","Set1_thinned_10",5
"204",196.5,3848.45,4009,4217.55,3783.975,3998,4537.275,1266.67773060644,"1","Set1_thinned_10",5
"205",334,4655.4,4864,5029.6,4583.925,5158,5353.05,1266.67773060644,"1","Set1_thinned_10",5
"206",361.5,5304.825,5434.5,5573.175,4867.975,4964,5156.075,1266.67773060644,"1","Set1_thinned_10",5
"207",407,5493.275,5687.5,5878.725,5322.5,5496,5623.125,1266.67773060644,"1","Set1_thinned_10",5
"208",481.5,5601.825,5750.5,5899.175,5157,5350,5429.025,1266.67773060644,"1","Set1_thinned_10",5
"209",502,5067.1,5355,5560.9,5717,5818,5957.025,1266.67773060644,"1","Set1_thinned_10",5
"210",552.5,6747.225,6922.5,7146.775,5582.975,5887,6085,1266.67773060644,"1","Set1_thinned_10",5
"211",574,5937.5,6099,6269.5,6303.975,6504,6633,1266.67773060644,"1","Set1_thinned_10",5
"212",595.5,6480.15,6632.5,6781.175,6107.975,6277,6500.1,1266.67773060644,"1","Set1_thinned_10",5
"213",643.5,6814,7023,7233.95,6639,6734,6808,1266.67773060644,"1","Set1_thinned_10",5
"214",670,6681.575,6844.5,7141.425,6880.975,6970,7040.025,1266.67773060644,"1","Set1_thinned_10",5
"215",749,6752.25,6947,7146.75,6915,6998,7073,1266.67773060644,"1","Set1_thinned_10",5
"216",767,6410.925,6561.5,6725.075,6922.975,7004,7084,1266.67773060644,"1","Set1_thinned_10",5
"217",844.5,6866.625,7042.5,7237.375,7011.925,7116,7212.025,1266.67773060644,"1","Set1_thinned_10",5
"218",850.5,6899.775,7066.5,7242.225,7099.975,7185,7272.05,1266.67773060644,"1","Set1_thinned_10",5
"219",870.5,7267.15,7384,7500.85,7129,7234.5,7454.05,1266.67773060644,"1","Set1_thinned_10",5
"220",937.5,7585.75,7714,7842.25,7389,7522,7790,1266.67773060644,"1","Set1_thinned_10",5
"221",1002.5,7493.875,7594.5,7687.125,7452,7656,7894,1266.67773060644,"1","Set1_thinned_10",5
"222",1046.5,7585.75,7714,7842.25,7504.95,7749,7926,1266.67773060644,"1","Set1_thinned_10",5
"223",1144.5,7852.05,7995,8158.95,7752.825,8055,8873.1,1266.67773060644,"1","Set1_thinned_10",5
"224",0,-72.8,-69,-65.2,-12,349,494.025,516.382428535286,"2","Set2_thinned_2",5
"225",69,313.6,420,526.4,419.725,1420,2018,516.382428535286,"2","Set2_thinned_2",5
"226",104.5,2005.575,2168.5,2331.425,832.85,1409,2143.125,516.382428535286,"2","Set2_thinned_2",5
"227",148,2360.7,2545,2729.3,2470,3063.5,3725.025,516.382428535286,"2","Set2_thinned_2",5
"228",196.5,3848.45,4009,4217.55,2764.975,3333,4718.025,516.382428535286,"2","Set2_thinned_2",5
"229",334,5298.7,5426,5570.3,4200.9,4741,5324.1,516.382428535286,"2","Set2_thinned_2",5
"230",407,5493.275,5687.5,5878.725,4377.775,5117,5468.025,516.382428535286,"2","Set2_thinned_2",5
"231",502,5481.7,5609,5736.3,5784.9,6092,6332,516.382428535286,"2","Set2_thinned_2",5
"232",574,6309.2,6465,6620.8,5711.875,6059.5,6454,516.382428535286,"2","Set2_thinned_2",5
"233",643.5,6814,7023,7233.95,6437.975,6709.5,6826,516.382428535286,"2","Set2_thinned_2",5
"234",670,6681.575,6844.5,7141.425,6958.9,7062,7217,516.382428535286,"2","Set2_thinned_2",5
"235",767,6410.925,6561.5,6725.075,6935.975,7133,7312.075,516.382428535286,"2","Set2_thinned_2",5
"236",850.5,7169.55,7294,7418.45,7301.9,7467,7618.05,516.382428535286,"2","Set2_thinned_2",5
"237",937.5,7585.75,7714,7842.25,7345,7489,7639.075,516.382428535286,"2","Set2_thinned_2",5
"238",1046.5,7585.75,7714,7842.25,7740,7845.5,7946,516.382428535286,"2","Set2_thinned_2",5
"239",1144.5,7852.05,7995,8158.95,7770.95,8158,9305.525,516.382428535286,"2","Set2_thinned_2",5
"240",0,-72.8,-69,-65.2,-54,81,244.025,1349.78197092998,"2","Set2_thinned_3",5
"241",24.5,7.275,145.5,283.725,65.95,410.5,980.375,1349.78197092998,"2","Set2_thinned_3",5
"242",76.5,6866.625,7042.5,7237.375,441.95,1195.5,2150.275,1349.78197092998,"2","Set2_thinned_3",5
"243",104.5,2005.575,2168.5,2331.425,699.525,1730,2380.1,1349.78197092998,"2","Set2_thinned_3",5
"244",148,2360.7,2545,2729.3,2750.725,3409,3631.05,1349.78197092998,"2","Set2_thinned_3",5
"245",160.5,3585.875,3754.5,3951.125,2550.95,2786,3486.05,1349.78197092998,"2","Set2_thinned_3",5
"246",256.5,3941.675,4171.5,4392.325,4039,4664,5228.15,1349.78197092998,"2","Set2_thinned_3",5
"247",334,5298.7,5426,5570.3,4337.65,4894,5401.025,1349.78197092998,"2","Set2_thinned_3",5
"248",407,5493.275,5687.5,5878.725,5427,5566,5752.025,1349.78197092998,"2","Set2_thinned_3",5
"249",481.5,5601.825,5750.5,5899.175,5705.875,5894,6169.025,1349.78197092998,"2","Set2_thinned_3",5
"250",552.5,6747.225,6922.5,7146.775,5933.7,6270,6396.025,1349.78197092998,"2","Set2_thinned_3",5
"251",574,6309.2,6465,6620.8,5932.975,6160,6416,1349.78197092998,"2","Set2_thinned_3",5
"252",643.5,6814,7023,7233.95,6101.975,6354,6537.125,1349.78197092998,"2","Set2_thinned_3",5
"253",649,6678.275,6835.5,6992.725,6407.975,6503,6601.075,1349.78197092998,"2","Set2_thinned_3",5
"254",749,6458.275,6615.5,6776.725,6875,7036,7206.025,1349.78197092998,"2","Set2_thinned_3",5
"255",767,6410.925,6561.5,6725.075,6902.925,7091,7235.025,1349.78197092998,"2","Set2_thinned_3",5
