"","Depth","lwr_2sd","median","upr_2sd","model","removalID","subset"
"82",324,4471.575,4788,4857.025,"Set1_thinned_2",2,"1"
"83",328,4549.95,4813,4885.05,"Set1_thinned_2",2,"1"
"84",332,4707.875,4836,4912,"Set1_thinned_2",2,"1"
"85",336,4829.975,4860,4960,"Set1_thinned_2",2,"1"
"86",340,4840,4877,5051.075,"Set1_thinned_2",2,"1"
"87",344,4847,4895,5116.1,"Set1_thinned_2",2,"1"
"88",348,4853,4913,5151.45,"Set1_thinned_2",2,"1"
"89",352,4857.975,4931,5197.125,"Set1_thinned_2",2,"1"
"90",356,4862.975,4948,5235.225,"Set1_thinned_2",2,"1"
"91",360,4867.975,4963,5298.05,"Set1_thinned_2",2,"1"
"92",364,4873,4980,5322.425,"Set1_thinned_2",2,"1"
"93",368,4879.975,4996,5351.4,"Set1_thinned_2",2,"1"
"94",372,4887,5012.5,5387.175,"Set1_thinned_2",2,"1"
"95",376,4894.95,5029,5421.075,"Set1_thinned_2",2,"1"
"96",380,4900.975,5045,5447.05,"Set1_thinned_2",2,"1"
"97",384,4906.975,5059,5476.15,"Set1_thinned_2",2,"1"
"98",388,4914.975,5075,5505.05,"Set1_thinned_2",2,"1"
"99",392,4921,5091.5,5531.05,"Set1_thinned_2",2,"1"
"100",396,4933.95,5109,5559.025,"Set1_thinned_2",2,"1"
"101",400,4943,5128.5,5586,"Set1_thinned_2",2,"1"
"102",404,4951.975,5148,5619.075,"Set1_thinned_2",2,"1"
"103",408,4968.975,5166.5,5658.025,"Set1_thinned_2",2,"1"
"104",412,4990,5182,5683.025,"Set1_thinned_2",2,"1"
"105",416,5006.95,5195,5697.025,"Set1_thinned_2",2,"1"
"106",420,5023.975,5208,5707.025,"Set1_thinned_2",2,"1"
"107",424,5037.975,5220,5721,"Set1_thinned_2",2,"1"
"108",428,5052,5230.5,5732.025,"Set1_thinned_2",2,"1"
"109",432,5066.975,5239.5,5742.125,"Set1_thinned_2",2,"1"
"110",436,5080.975,5250.5,5751.1,"Set1_thinned_2",2,"1"
"111",440,5095,5259.5,5758.05,"Set1_thinned_2",2,"1"
"112",444,5110,5268.5,5769.025,"Set1_thinned_2",2,"1"
"113",448,5119.95,5279.5,5779.025,"Set1_thinned_2",2,"1"
"114",452,5137.9,5289,5786.025,"Set1_thinned_2",2,"1"
"115",456,5150,5300.5,5791.025,"Set1_thinned_2",2,"1"
"116",460,5162,5311,5802.025,"Set1_thinned_2",2,"1"
"117",464,5171.975,5321.5,5812.025,"Set1_thinned_2",2,"1"
"118",468,5180.975,5332,5817.25,"Set1_thinned_2",2,"1"
"119",472,5190.925,5340,5836.025,"Set1_thinned_2",2,"1"
"120",476,5206.95,5351,5846.1,"Set1_thinned_2",2,"1"
"121",480,5211.95,5362,5856.15,"Set1_thinned_2",2,"1"
"122",484,5222,5372,5866.125,"Set1_thinned_2",2,"1"
"123",488,5249.9,5383,5878.05,"Set1_thinned_2",2,"1"
"124",492,5267.95,5395,5889,"Set1_thinned_2",2,"1"
"125",496,5286.975,5405.5,5901.025,"Set1_thinned_2",2,"1"
"126",500,5308,5417,5912.05,"Set1_thinned_2",2,"1"
"127",504,5334,5446,5933.075,"Set1_thinned_2",2,"1"
"128",508,5372.975,5481,5947.1,"Set1_thinned_2",2,"1"
"129",512,5410.975,5517,5961.025,"Set1_thinned_2",2,"1"
"130",516,5440.975,5552.5,5968.225,"Set1_thinned_2",2,"1"
"131",520,5460,5589,5986.025,"Set1_thinned_2",2,"1"
"132",524,5479.925,5624,5996.1,"Set1_thinned_2",2,"1"
"133",528,5495.9,5660,6008.075,"Set1_thinned_2",2,"1"
"134",532,5516.925,5696,6017.025,"Set1_thinned_2",2,"1"
"135",536,5529.95,5731.5,6025,"Set1_thinned_2",2,"1"
"136",540,5547.925,5769,6037.025,"Set1_thinned_2",2,"1"
"137",544,5560,5804,6046.025,"Set1_thinned_2",2,"1"
"138",548,5574.975,5840.5,6055.025,"Set1_thinned_2",2,"1"
"139",552,5594.925,5875,6066.025,"Set1_thinned_2",2,"1"
"140",556,5624.825,5910,6079.075,"Set1_thinned_2",2,"1"
"141",560,5662,5945,6093.025,"Set1_thinned_2",2,"1"
"142",564,5726.925,5978,6109.15,"Set1_thinned_2",2,"1"
"143",568,5800.95,6011,6138,"Set1_thinned_2",2,"1"
"144",572,5921.95,6044,6166.025,"Set1_thinned_2",2,"1"
"145",576,5979.975,6078,6207.075,"Set1_thinned_2",2,"1"
"146",580,5998.9,6101,6277.025,"Set1_thinned_2",2,"1"
"147",584,6017.95,6123.5,6323.05,"Set1_thinned_2",2,"1"
"148",588,6029.975,6146,6357,"Set1_thinned_2",2,"1"
"149",592,6037,6165.5,6391.025,"Set1_thinned_2",2,"1"
"150",596,6045.975,6185,6420.075,"Set1_thinned_2",2,"1"
"151",600,6052,6202.5,6443.15,"Set1_thinned_2",2,"1"
"152",604,6059.975,6218,6466.1,"Set1_thinned_2",2,"1"
"153",608,6067,6234,6489,"Set1_thinned_2",2,"1"
"154",612,6074,6249.5,6510,"Set1_thinned_2",2,"1"
"155",616,6083.975,6267,6527.05,"Set1_thinned_2",2,"1"
"156",620,6092.95,6284,6556.125,"Set1_thinned_2",2,"1"
"157",624,6098,6301,6588,"Set1_thinned_2",2,"1"
"158",628,6103,6318,6620.175,"Set1_thinned_2",2,"1"
