"","RSL","RSLer_up_2sd","Age","Age_up_er_2sd","RSLError","AgeError","AgeCE","model","removalID"
"44",-1.75497430655552,0.206202026021923,3296.1,394.175,0.103101013010961,197.0875,-1346.1,"Set1_thinned_2","_2"
"45",-1.79444857250232,0.206272604091972,3358.425,393.575,0.103136302045986,196.7875,-1408.425,"Set1_thinned_2","_2"
"46",-1.83393213838099,0.206344345519505,3431.55,367.575,0.103172172759753,183.7875,-1481.55,"Set1_thinned_2","_2"
"47",-1.87342190395881,0.206417648485005,3494.5,359.575,0.103208824242502,179.7875,-1544.5,"Set1_thinned_2","_2"
"48",-1.91291351821687,0.206492228638503,3590.5875,327.4625,0.103246114319252,163.73125,-1640.5875,"Set1_thinned_2","_2"
"49",-1.95240095786172,0.206568076068006,3699.55,297.475,0.103284038034003,148.7375,-1749.55,"Set1_thinned_2","_2"
"50",-1.99189609376849,0.206645818425689,3989.5125,118.5125,0.103322909212845,59.2562499999999,-2039.5125,"Set1_thinned_2","_2"
"51",-2.03140556029881,0.206725588210067,4068.5,133.525,0.103362794105033,66.7624999999998,-2118.5,"Set1_thinned_2","_2"
"52",-2.07091927099239,0.206806335582626,4145.55,189.575,0.103403167791313,94.7874999999999,-2195.55,"Set1_thinned_2","_2"
"53",-2.11042877355854,0.206888665651928,4192.0625,217.0625,0.103444332825964,108.53125,-2242.0625,"Set1_thinned_2","_2"
"54",-2.14994184633414,0.206972425686191,4234.575,239.6,0.103486212843096,119.8,-2284.575,"Set1_thinned_2","_2"
"55",-2.18945778827475,0.207057692849871,4262.5125,248.5125,0.103528846424936,124.25625,-2312.5125,"Set1_thinned_2","_2"
"56",-2.22898122678997,0.207144552571472,4283.55,254.575,0.103572276285736,127.2875,-2333.55,"Set1_thinned_2","_2"
"57",-2.26851053168524,0.207232670369058,4310.0125,262.1125,0.103616335184529,131.05625,-2360.0125,"Set1_thinned_2","_2"
"58",-2.30804310350978,0.207322052148747,4323.5125,264.5625,0.103661026074374,132.28125,-2373.5125,"Set1_thinned_2","_2"
"59",-2.34757532683058,0.207412600429055,4334.9875,268.0375,0.103706300214527,134.01875,-2384.9875,"Set1_thinned_2","_2"
