"","ageBP","RSL_lwr_2sd","RSL","RSL_upr_2sd","site","lat","lon","model"
"77",11.5,-48.14,-41.53,-34.92,"4","16.832","-88.106","ICE-6G_C"
"78",11,-36.96,-30.86,-24.76,"4","16.832","-88.106","ICE-6G_C"
"79",10.5,-30.63,-24.96,-19.3,"4","16.832","-88.106","ICE-6G_C"
"80",10,-24.84,-19.53,-14.21,"4","16.832","-88.106","ICE-6G_C"
"81",9.5,-19.41,-14.45,-9.49,"4","16.832","-88.106","ICE-6G_C"
"82",9,-15.22,-10.54,-5.87,"4","16.832","-88.106","ICE-6G_C"
"83",8.5,-10.81,-6.41,-2.01,"4","16.832","-88.106","ICE-6G_C"
"84",8,-8.09,-4.02,0.05,"4","16.832","-88.106","ICE-6G_C"
"85",7.5,-5.24,-1.43,2.39,"4","16.832","-88.106","ICE-6G_C"
"86",7,-3.78,-0.19,3.39,"4","16.832","-88.106","ICE-6G_C"
"87",6.5,-2.75,0.6,3.95,"4","16.832","-88.106","ICE-6G_C"
"88",6,-2.26,0.84,3.94,"4","16.832","-88.106","ICE-6G_C"
"89",5.5,-2.03,0.81,3.65,"4","16.832","-88.106","ICE-6G_C"
"90",5,-1.74,0.82,3.38,"4","16.832","-88.106","ICE-6G_C"
"91",4.5,-1.49,0.79,3.07,"4","16.832","-88.106","ICE-6G_C"
"92",4,-1.23,0.74,2.71,"4","16.832","-88.106","ICE-6G_C"
"93",3.5,-1.06,0.63,2.33,"4","16.832","-88.106","ICE-6G_C"
"94",3,-0.91,0.53,1.96,"4","16.832","-88.106","ICE-6G_C"
"95",2.5,-0.72,0.45,1.62,"4","16.832","-88.106","ICE-6G_C"
"96",2,-0.48,0.45,1.37,"4","16.832","-88.106","ICE-6G_C"
"97",1.5,-0.36,0.32,1,"4","16.832","-88.106","ICE-6G_C"
"98",1,-0.23,0.21,0.65,"4","16.832","-88.106","ICE-6G_C"
"99",0.5,-0.12,0.1,0.32,"4","16.832","-88.106","ICE-6G_C"
"100",0,0,0,0,"4","16.832","-88.106","ICE-6G_C"
"101",12,-54.22,-47.19,-40.15,"5","16.695","-88.075","ICE-6G_C"
"102",11.5,-47.93,-41.36,-34.8,"5","16.695","-88.075","ICE-6G_C"
"103",11,-36.76,-30.7,-24.63,"5","16.695","-88.075","ICE-6G_C"
"104",10.5,-30.44,-24.81,-19.18,"5","16.695","-88.075","ICE-6G_C"
"105",10,-24.68,-19.39,-14.1,"5","16.695","-88.075","ICE-6G_C"
"106",9.5,-19.26,-14.32,-9.39,"5","16.695","-88.075","ICE-6G_C"
"107",9,-15.08,-10.42,-5.77,"5","16.695","-88.075","ICE-6G_C"
"108",8.5,-10.69,-6.3,-1.91,"5","16.695","-88.075","ICE-6G_C"
"109",8,-7.99,-3.93,0.13,"5","16.695","-88.075","ICE-6G_C"
"110",7.5,-5.15,-1.34,2.47,"5","16.695","-88.075","ICE-6G_C"
"111",7,-3.7,-0.12,3.47,"5","16.695","-88.075","ICE-6G_C"
"112",6.5,-2.68,0.66,4.01,"5","16.695","-88.075","ICE-6G_C"
"113",6,-2.21,0.9,4,"5","16.695","-88.075","ICE-6G_C"
"114",5.5,-1.99,0.86,3.7,"5","16.695","-88.075","ICE-6G_C"
"115",5,-1.7,0.86,3.42,"5","16.695","-88.075","ICE-6G_C"
"116",4.5,-1.46,0.82,3.1,"5","16.695","-88.075","ICE-6G_C"
"117",4,-1.21,0.77,2.74,"5","16.695","-88.075","ICE-6G_C"
"118",3.5,-1.04,0.65,2.35,"5","16.695","-88.075","ICE-6G_C"
"119",3,-0.89,0.54,1.98,"5","16.695","-88.075","ICE-6G_C"
"120",2.5,-0.7,0.47,1.63,"5","16.695","-88.075","ICE-6G_C"
"121",2,-0.47,0.46,1.38,"5","16.695","-88.075","ICE-6G_C"
"122",1.5,-0.35,0.33,1.01,"5","16.695","-88.075","ICE-6G_C"
"123",1,-0.23,0.21,0.66,"5","16.695","-88.075","ICE-6G_C"
"124",0.5,-0.12,0.1,0.32,"5","16.695","-88.075","ICE-6G_C"
"125",0,0,0,0,"5","16.695","-88.075","ICE-6G_C"
"126",12,-58.06,-51.01,-43.96,"6","17.377","-87.576","ICE-6G_C"
"127",11.5,-51.57,-44.98,-38.4,"6","17.377","-87.576","ICE-6G_C"
"128",11,-40.14,-34.09,-28.04,"6","17.377","-87.576","ICE-6G_C"
"129",10.5,-33.56,-27.95,-22.34,"6","17.377","-87.576","ICE-6G_C"
"130",10,-27.53,-22.29,-17.04,"6","17.377","-87.576","ICE-6G_C"
"131",9.5,-21.83,-16.98,-12.13,"6","17.377","-87.576","ICE-6G_C"
"132",9,-17.41,-12.86,-8.31,"6","17.377","-87.576","ICE-6G_C"
"133",8.5,-12.77,-8.51,-4.25,"6","17.377","-87.576","ICE-6G_C"
"134",8,-9.83,-5.91,-1.99,"6","17.377","-87.576","ICE-6G_C"
"135",7.5,-6.78,-3.11,0.55,"6","17.377","-87.576","ICE-6G_C"
"136",7,-5.12,-1.69,1.74,"6","17.377","-87.576","ICE-6G_C"
"137",6.5,-3.92,-0.72,2.48,"6","17.377","-87.576","ICE-6G_C"
"138",6,-3.29,-0.33,2.63,"6","17.377","-87.576","ICE-6G_C"
"139",5.5,-2.91,-0.21,2.5,"6","17.377","-87.576","ICE-6G_C"
"140",5,-2.51,-0.07,2.37,"6","17.377","-87.576","ICE-6G_C"
"141",4.5,-2.15,0.03,2.2,"6","17.377","-87.576","ICE-6G_C"
"142",4,-1.82,0.08,1.97,"6","17.377","-87.576","ICE-6G_C"
"143",3.5,-1.55,0.08,1.71,"6","17.377","-87.576","ICE-6G_C"
"144",3,-1.3,0.07,1.44,"6","17.377","-87.576","ICE-6G_C"
"145",2.5,-1.04,0.08,1.21,"6","17.377","-87.576","ICE-6G_C"
"146",2,-0.73,0.16,1.05,"6","17.377","-87.576","ICE-6G_C"
"147",1.5,-0.53,0.12,0.77,"6","17.377","-87.576","ICE-6G_C"
"148",1,-0.35,0.07,0.49,"6","17.377","-87.576","ICE-6G_C"
"149",0.5,-0.17,0.03,0.24,"6","17.377","-87.576","ICE-6G_C"
"150",0,0,0,0,"6","17.377","-87.576","ICE-6G_C"
"151",12,-55.34,-48.38,-41.41,"7","16.785","-87.831","ICE-6G_C"
"152",11.5,-48.98,-42.48,-35.98,"7","16.785","-87.831","ICE-6G_C"
"153",11,-37.73,-31.74,-25.74,"7","16.785","-87.831","ICE-6G_C"
"154",10.5,-31.35,-25.77,-20.2,"7","16.785","-87.831","ICE-6G_C"
"155",10,-25.5,-20.28,-15.05,"7","16.785","-87.831","ICE-6G_C"
"156",9.5,-20,-15.13,-10.26,"7","16.785","-87.831","ICE-6G_C"
"157",9,-15.76,-11.17,-6.58,"7","16.785","-87.831","ICE-6G_C"
"158",8.5,-11.3,-6.97,-2.65,"7","16.785","-87.831","ICE-6G_C"
"159",8,-8.53,-4.53,-0.53,"7","16.785","-87.831","ICE-6G_C"
"160",7.5,-5.63,-1.88,1.86,"7","16.785","-87.831","ICE-6G_C"
"161",7,-4.13,-0.6,2.93,"7","16.785","-87.831","ICE-6G_C"
"162",6.5,-3.06,0.23,3.52,"7","16.785","-87.831","ICE-6G_C"
"163",6,-2.54,0.52,3.57,"7","16.785","-87.831","ICE-6G_C"
"164",5.5,-2.27,0.52,3.32,"7","16.785","-87.831","ICE-6G_C"
"165",5,-1.95,0.57,3.09,"7","16.785","-87.831","ICE-6G_C"
"166",4.5,-1.68,0.57,2.82,"7","16.785","-87.831","ICE-6G_C"
"167",4,-1.4,0.55,2.5,"7","16.785","-87.831","ICE-6G_C"
"168",3.5,-1.2,0.47,2.15,"7","16.785","-87.831","ICE-6G_C"
"169",3,-1.02,0.39,1.81,"7","16.785","-87.831","ICE-6G_C"
"170",2.5,-0.81,0.34,1.49,"7","16.785","-87.831","ICE-6G_C"
"171",2,-0.55,0.36,1.27,"7","16.785","-87.831","ICE-6G_C"
"172",1.5,-0.41,0.26,0.93,"7","16.785","-87.831","ICE-6G_C"
"173",1,-0.27,0.17,0.6,"7","16.785","-87.831","ICE-6G_C"
"174",0.5,-0.14,0.08,0.3,"7","16.785","-87.831","ICE-6G_C"
"175",0,0,0,0,"7","16.785","-87.831","ICE-6G_C"
"176",12,-53.02,-46.05,-39.08,"8","16.300","-88.155","ICE-6G_C"
"177",11.5,-46.8,-40.29,-33.77,"8","16.300","-88.155","ICE-6G_C"
"178",11,-35.7,-29.69,-23.68,"8","16.300","-88.155","ICE-6G_C"
"179",10.5,-29.44,-23.85,-18.26,"8","16.300","-88.155","ICE-6G_C"
"180",10,-23.78,-18.51,-13.25,"8","16.300","-88.155","ICE-6G_C"
"181",9.5,-18.44,-13.52,-8.61,"8","16.300","-88.155","ICE-6G_C"
"182",9,-14.35,-9.7,-5.05,"8","16.300","-88.155","ICE-6G_C"
"183",8.5,-10.03,-5.65,-1.26,"8","16.300","-88.155","ICE-6G_C"
"184",8,-7.41,-3.35,0.72,"8","16.300","-88.155","ICE-6G_C"
"185",7.5,-4.65,-0.83,2.99,"8","16.300","-88.155","ICE-6G_C"
"186",7,-3.26,0.33,3.93,"8","16.300","-88.155","ICE-6G_C"
"187",6.5,-2.3,1.06,4.43,"8","16.300","-88.155","ICE-6G_C"
"188",6,-1.88,1.24,4.37,"8","16.300","-88.155","ICE-6G_C"
"189",5.5,-1.69,1.16,4.01,"8","16.300","-88.155","ICE-6G_C"
"190",5,-1.45,1.13,3.7,"8","16.300","-88.155","ICE-6G_C"
"191",4.5,-1.24,1.05,3.34,"8","16.300","-88.155","ICE-6G_C"
"192",4,-1.02,0.96,2.94,"8","16.300","-88.155","ICE-6G_C"
"193",3.5,-0.9,0.81,2.52,"8","16.300","-88.155","ICE-6G_C"
"194",3,-0.76,0.68,2.11,"8","16.300","-88.155","ICE-6G_C"
"195",2.5,-0.6,0.57,1.74,"8","16.300","-88.155","ICE-6G_C"
"196",2,-0.39,0.54,1.46,"8","16.300","-88.155","ICE-6G_C"
"197",1.5,-0.29,0.39,1.07,"8","16.300","-88.155","ICE-6G_C"
"198",1,-0.19,0.25,0.7,"8","16.300","-88.155","ICE-6G_C"
"199",0.5,-0.09,0.13,0.35,"8","16.300","-88.155","ICE-6G_C"
"200",0,0,0,0,"8","16.300","-88.155","ICE-6G_C"
"201",12,-65.14,-59.28,-53.42,"1","17.868","-88.060","ANU-ICE"
"202",11.5,-61.72,-56.2,-50.69,"1","17.868","-88.060","ANU-ICE"
"203",11,-55.29,-50.09,-44.89,"1","17.868","-88.060","ANU-ICE"
"204",10.5,-48.84,-43.92,-38.99,"1","17.868","-88.060","ANU-ICE"
"205",10,-41.21,-36.54,-31.87,"1","17.868","-88.060","ANU-ICE"
"206",9.5,-32.65,-28.2,-23.76,"1","17.868","-88.060","ANU-ICE"
"207",9,-24.65,-20.76,-16.87,"1","17.868","-88.060","ANU-ICE"
"208",8.5,-18.31,-14.49,-10.68,"1","17.868","-88.060","ANU-ICE"
"209",8,-14.12,-10.36,-6.59,"1","17.868","-88.060","ANU-ICE"
"210",7.5,-10.39,-6.74,-3.08,"1","17.868","-88.060","ANU-ICE"
"211",7,-6.81,-3.31,0.18,"1","17.868","-88.060","ANU-ICE"
"212",6.5,-5.18,-1.86,1.45,"1","17.868","-88.060","ANU-ICE"
"213",6,-3.71,-0.7,2.31,"1","17.868","-88.060","ANU-ICE"
"214",5.5,-3.22,-0.5,2.22,"1","17.868","-88.060","ANU-ICE"
"215",5,-2.68,-0.27,2.15,"1","17.868","-88.060","ANU-ICE"
"216",4.5,-2.17,-0.05,2.08,"1","17.868","-88.060","ANU-ICE"
"217",4,-1.67,0.19,2.04,"1","17.868","-88.060","ANU-ICE"
"218",3.5,-1.25,0.35,1.94,"1","17.868","-88.060","ANU-ICE"
"219",3,-0.82,0.53,1.88,"1","17.868","-88.060","ANU-ICE"
"220",2.5,-0.53,0.58,1.68,"1","17.868","-88.060","ANU-ICE"
"221",2,-0.26,0.64,1.54,"1","17.868","-88.060","ANU-ICE"
"222",1.5,-0.19,0.49,1.16,"1","17.868","-88.060","ANU-ICE"
"223",1,-0.11,0.35,0.8,"1","17.868","-88.060","ANU-ICE"
"224",0.5,-0.02,0.25,0.51,"1","17.868","-88.060","ANU-ICE"
"225",0,0,0,0,"1","17.868","-88.060","ANU-ICE"
"226",12,-64.78,-58.93,-53.09,"2","17.479","-88.042","ANU-ICE"
"227",11.5,-61.38,-55.89,-50.4,"2","17.479","-88.042","ANU-ICE"
"228",11,-54.97,-49.77,-44.56,"2","17.479","-88.042","ANU-ICE"
"229",10.5,-48.56,-43.62,-38.67,"2","17.479","-88.042","ANU-ICE"
"230",10,-40.95,-36.24,-31.54,"2","17.479","-88.042","ANU-ICE"
"231",9.5,-32.41,-27.91,-23.4,"2","17.479","-88.042","ANU-ICE"
"232",9,-24.45,-20.48,-16.5,"2","17.479","-88.042","ANU-ICE"
"233",8.5,-18.14,-14.23,-10.32,"2","17.479","-88.042","ANU-ICE"
"234",8,-13.99,-10.12,-6.25,"2","17.479","-88.042","ANU-ICE"
"235",7.5,-10.29,-6.52,-2.76,"2","17.479","-88.042","ANU-ICE"
"236",7,-6.76,-3.13,0.5,"2","17.479","-88.042","ANU-ICE"
"237",6.5,-5.14,-1.71,1.71,"2","17.479","-88.042","ANU-ICE"
"238",6,-3.7,-0.57,2.55,"2","17.479","-88.042","ANU-ICE"
"239",5.5,-3.21,-0.39,2.43,"2","17.479","-88.042","ANU-ICE"
"240",5,-2.67,-0.17,2.32,"2","17.479","-88.042","ANU-ICE"
"241",4.5,-2.17,0.03,2.22,"2","17.479","-88.042","ANU-ICE"
"242",4,-1.67,0.24,2.15,"2","17.479","-88.042","ANU-ICE"
"243",3.5,-1.25,0.4,2.05,"2","17.479","-88.042","ANU-ICE"
"244",3,-0.83,0.56,1.95,"2","17.479","-88.042","ANU-ICE"
"245",2.5,-0.54,0.61,1.76,"2","17.479","-88.042","ANU-ICE"
"246",2,-0.28,0.65,1.58,"2","17.479","-88.042","ANU-ICE"
"247",1.5,-0.21,0.5,1.2,"2","17.479","-88.042","ANU-ICE"
"248",1,-0.13,0.35,0.83,"2","17.479","-88.042","ANU-ICE"
"249",0.5,-0.02,0.25,0.51,"2","17.479","-88.042","ANU-ICE"
"250",0,0,0,0,"2","17.479","-88.042","ANU-ICE"
"251",12,-65.46,-59.73,-54,"3","17.380","-87.874","ANU-ICE"
"252",11.5,-62.03,-56.64,-51.25,"3","17.380","-87.874","ANU-ICE"
"253",11,-55.59,-50.48,-45.36,"3","17.380","-87.874","ANU-ICE"
"254",10.5,-49.14,-44.28,-39.41,"3","17.380","-87.874","ANU-ICE"
"255",10,-41.48,-36.85,-32.22,"3","17.380","-87.874","ANU-ICE"
"256",9.5,-32.9,-28.46,-24.03,"3","17.380","-87.874","ANU-ICE"
"257",9,-24.89,-20.99,-17.08,"3","17.380","-87.874","ANU-ICE"
"258",8.5,-18.54,-14.69,-10.84,"3","17.380","-87.874","ANU-ICE"
"259",8,-14.34,-10.53,-6.72,"3","17.380","-87.874","ANU-ICE"
"260",7.5,-10.61,-6.9,-3.18,"3","17.380","-87.874","ANU-ICE"
"261",7,-7.04,-3.46,0.11,"3","17.380","-87.874","ANU-ICE"
"262",6.5,-5.38,-2.01,1.36,"3","17.380","-87.874","ANU-ICE"
"263",6,-3.91,-0.83,2.24,"3","17.380","-87.874","ANU-ICE"
"264",5.5,-3.4,-0.62,2.16,"3","17.380","-87.874","ANU-ICE"
"265",5,-2.85,-0.38,2.09,"3","17.380","-87.874","ANU-ICE"
"266",4.5,-2.32,-0.16,2.01,"3","17.380","-87.874","ANU-ICE"
"267",4,-1.8,0.08,1.97,"3","17.380","-87.874","ANU-ICE"
"268",3.5,-1.36,0.27,1.89,"3","17.380","-87.874","ANU-ICE"
"269",3,-0.92,0.45,1.82,"3","17.380","-87.874","ANU-ICE"
"270",2.5,-0.62,0.51,1.65,"3","17.380","-87.874","ANU-ICE"
"271",2,-0.33,0.58,1.5,"3","17.380","-87.874","ANU-ICE"
"272",1.5,-0.25,0.44,1.13,"3","17.380","-87.874","ANU-ICE"
"273",1,-0.15,0.32,0.79,"3","17.380","-87.874","ANU-ICE"
"274",0.5,-0.03,0.23,0.5,"3","17.380","-87.874","ANU-ICE"
"275",0,0,0,0,"3","17.380","-87.874","ANU-ICE"
"276",12,-63.42,-57.49,-51.57,"4","16.832","-88.106","ANU-ICE"
"277",11.5,-60.08,-54.5,-48.92,"4","16.832","-88.106","ANU-ICE"
"278",11,-53.73,-48.44,-43.14,"4","16.832","-88.106","ANU-ICE"
"279",10.5,-47.4,-42.34,-37.28,"4","16.832","-88.106","ANU-ICE"
"280",10,-39.86,-35.02,-30.18,"4","16.832","-88.106","ANU-ICE"
"281",9.5,-31.42,-26.75,-22.07,"4","16.832","-88.106","ANU-ICE"
"282",9,-23.59,-19.41,-15.23,"4","16.832","-88.106","ANU-ICE"
"283",8.5,-17.4,-13.27,-9.13,"4","16.832","-88.106","ANU-ICE"
"284",8,-13.34,-9.24,-5.14,"4","16.832","-88.106","ANU-ICE"
