"","ageBP","RSL_lwr_2sd","RSL","RSL_upr_2sd","site","lat","lon","model"
"336",7,-7.65,-4.23,-0.8,"6","17.377","-87.576","ANU-ICE"
"337",6.5,-5.92,-2.68,0.55,"6","17.377","-87.576","ANU-ICE"
"338",6,-4.38,-1.43,1.52,"6","17.377","-87.576","ANU-ICE"
"339",5.5,-3.81,-1.15,1.52,"6","17.377","-87.576","ANU-ICE"
"340",5,-3.22,-0.84,1.53,"6","17.377","-87.576","ANU-ICE"
"341",4.5,-2.64,-0.56,1.53,"6","17.377","-87.576","ANU-ICE"
"342",4,-2.08,-0.26,1.56,"6","17.377","-87.576","ANU-ICE"
"343",3.5,-1.58,-0.03,1.53,"6","17.377","-87.576","ANU-ICE"
"344",3,-1.12,0.2,1.53,"6","17.377","-87.576","ANU-ICE"
"345",2.5,-0.77,0.31,1.4,"6","17.377","-87.576","ANU-ICE"
"346",2,-0.45,0.43,1.31,"6","17.377","-87.576","ANU-ICE"
"347",1.5,-0.32,0.33,0.99,"6","17.377","-87.576","ANU-ICE"
"348",1,-0.2,0.25,0.7,"6","17.377","-87.576","ANU-ICE"
"349",0.5,-0.06,0.2,0.46,"6","17.377","-87.576","ANU-ICE"
"350",0,0,0,0,"6","17.377","-87.576","ANU-ICE"
"351",12,-64.42,-58.67,-52.92,"7","16.785","-87.831","ANU-ICE"
"352",11.5,-61.03,-55.62,-50.21,"7","16.785","-87.831","ANU-ICE"
"353",11,-54.64,-49.49,-44.35,"7","16.785","-87.831","ANU-ICE"
"354",10.5,-48.25,-43.33,-38.41,"7","16.785","-87.831","ANU-ICE"
"355",10,-40.65,-35.94,-31.23,"7","16.785","-87.831","ANU-ICE"
"356",9.5,-32.13,-27.6,-23.06,"7","16.785","-87.831","ANU-ICE"
"357",9,-24.24,-20.19,-16.14,"7","16.785","-87.831","ANU-ICE"
"358",8.5,-17.98,-13.97,-9.95,"7","16.785","-87.831","ANU-ICE"
"359",8,-13.86,-9.87,-5.89,"7","16.785","-87.831","ANU-ICE"
"360",7.5,-10.21,-6.32,-2.43,"7","16.785","-87.831","ANU-ICE"
"361",7,-6.7,-2.96,0.79,"7","16.785","-87.831","ANU-ICE"
"362",6.5,-5.1,-1.57,1.96,"7","16.785","-87.831","ANU-ICE"
"363",6,-3.67,-0.45,2.78,"7","16.785","-87.831","ANU-ICE"
"364",5.5,-3.21,-0.29,2.62,"7","16.785","-87.831","ANU-ICE"
"365",5,-2.69,-0.11,2.48,"7","16.785","-87.831","ANU-ICE"
"366",4.5,-2.19,0.08,2.35,"7","16.785","-87.831","ANU-ICE"
"367",4,-1.68,0.29,2.27,"7","16.785","-87.831","ANU-ICE"
"368",3.5,-1.27,0.43,2.12,"7","16.785","-87.831","ANU-ICE"
"369",3,-0.86,0.58,2.02,"7","16.785","-87.831","ANU-ICE"
"370",2.5,-0.58,0.61,1.8,"7","16.785","-87.831","ANU-ICE"
"371",2,-0.28,0.67,1.62,"7","16.785","-87.831","ANU-ICE"
"372",1.5,-0.21,0.5,1.22,"7","16.785","-87.831","ANU-ICE"
"373",1,-0.12,0.37,0.86,"7","16.785","-87.831","ANU-ICE"
"374",0.5,-0.02,0.25,0.53,"7","16.785","-87.831","ANU-ICE"
"375",0,0,0,0,"7","16.785","-87.831","ANU-ICE"
"376",12,-62.2,-56.18,-50.15,"8","16.300","-88.155","ANU-ICE"
"377",11.5,-58.9,-53.23,-47.57,"8","16.300","-88.155","ANU-ICE"
"378",11,-52.6,-47.22,-41.84,"8","16.300","-88.155","ANU-ICE"
"379",10.5,-46.33,-41.18,-36.02,"8","16.300","-88.155","ANU-ICE"
"380",10,-38.88,-33.92,-28.97,"8","16.300","-88.155","ANU-ICE"
"381",9.5,-30.54,-25.72,-20.91,"8","16.300","-88.155","ANU-ICE"
"382",9,-22.79,-18.46,-14.13,"8","16.300","-88.155","ANU-ICE"
"383",8.5,-16.71,-12.4,-8.1,"8","16.300","-88.155","ANU-ICE"
"384",8,-12.74,-8.47,-4.19,"8","16.300","-88.155","ANU-ICE"
"385",7.5,-9.22,-5.06,-0.9,"8","16.300","-88.155","ANU-ICE"
"386",7,-5.85,-1.85,2.15,"8","16.300","-88.155","ANU-ICE"
"387",6.5,-4.36,-0.59,3.18,"8","16.300","-88.155","ANU-ICE"
"388",6,-3.03,0.41,3.85,"8","16.300","-88.155","ANU-ICE"
"389",5.5,-2.64,0.46,3.57,"8","16.300","-88.155","ANU-ICE"
"390",5,-2.21,0.55,3.31,"8","16.300","-88.155","ANU-ICE"
"391",4.5,-1.77,0.65,3.07,"8","16.300","-88.155","ANU-ICE"
"392",4,-1.33,0.78,2.89,"8","16.300","-88.155","ANU-ICE"
"393",3.5,-0.97,0.83,2.64,"8","16.300","-88.155","ANU-ICE"
"394",3,-0.61,0.92,2.45,"8","16.300","-88.155","ANU-ICE"
"395",2.5,-0.38,0.89,2.16,"8","16.300","-88.155","ANU-ICE"
"396",2,-0.13,0.88,1.88,"8","16.300","-88.155","ANU-ICE"
"397",1.5,-0.1,0.65,1.41,"8","16.300","-88.155","ANU-ICE"
"398",1,-0.05,0.46,0.98,"8","16.300","-88.155","ANU-ICE"
"399",0.5,0.01,0.3,0.59,"8","16.300","-88.155","ANU-ICE"
"400",0,0,0,0,"8","16.300","-88.155","ANU-ICE"
