Depth,lwr_2sd,median,upr_2sd,model
644,6525.925,6617,6688.025,Bchron
648,6593.975,6677,6735,Bchron
652,6674.975,6726,6774.025,Bchron
656,6716.975,6751,6790,Bchron
660,6722.975,6756,6793,Bchron
664,6728.975,6764,6805,Bchron
668,6749,6797,6851.025,Bchron
672,6795.975,6850,6902,Bchron
676,6839,6883,6921,Bchron
680,6846,6887,6924,Bchron
684,6849.95,6888,6925,Bchron
688,6851,6889,6926,Bchron
692,6853,6890,6928,Bchron
696,6854,6891,6929,Bchron
700,6854,6892,6930,Bchron
704,6857,6893,6931,Bchron
708,6858,6894,6933,Bchron
712,6859.975,6895,6935,Bchron
716,6860.975,6896,6936,Bchron
720,6862,6897,6936.025,Bchron
724,6864,6898,6938,Bchron
728,6866,6899,6939,Bchron
732,6867,6900,6939,Bchron
736,6868.975,6902,6941,Bchron
740,6870,6903,6942.025,Bchron
744,6878,6913,6962.025,Bchron
748,6900.975,6951,7010,Bchron
752,6945.975,6997,7072.025,Bchron
756,6993,7032,7095,Bchron
760,7000.975,7040,7100,Bchron
764,7006,7048,7107,Bchron
768,7012.975,7058,7114.025,Bchron
772,7015,7061,7117.05,Bchron
776,7018.975,7063,7120,Bchron
780,7021,7065,7121.025,Bchron
784,7022,7067,7122,Bchron
788,7023,7070,7123,Bchron
792,7025,7072,7123.025,Bchron
796,7028,7074,7126,Bchron
800,7028,7077,7127.025,Bchron
803.9999999999999,7029,7079,7129,Bchron
808,7031.975,7080.5,7130.025,Bchron
811.9999999999999,7033.975,7082,7132,Bchron
816,7035.975,7085,7133,Bchron
819.9999999999999,7037.975,7087,7134.025,Bchron
824,7038.975,7089,7135.025,Bchron
827.9999999999999,7040.975,7091,7137,Bchron
832,7042,7093,7138,Bchron
836,7044,7095,7143,Bchron
840,7048,7100.5,7152.075,Bchron
844,7059.975,7121.5,7193.05,Bchron
848,7105,7185,7294,Bchron
852,7181,7290,7356,Bchron
856,7230.975,7316,7376.025,Bchron
860,7257,7329,7387,Bchron
864,7277.975,7343,7398.025,Bchron
868,7299,7359,7412,Bchron
872.0000000000001,7334.975,7383,7451.025,Bchron
876,7344,7399,7486.1,Bchron
880.0000000000001,7350,7412,7511,Bchron
884,7355.975,7423,7528,Bchron
888.0000000000001,7359,7435,7542,Bchron
892,7366.95,7448,7552.025,Bchron
896.0000000000001,7374,7459,7562.05,Bchron
900,7380,7472,7576.075,Bchron
903.9999999999999,7389.975,7488,7587.05,Bchron
908,7396.975,7500,7595.05,Bchron
911.9999999999999,7402.975,7512,7601,Bchron
916,7412,7524,7607.025,Bchron
919.9999999999999,7421,7539,7613.05,Bchron
924,7423.975,7553,7618,Bchron
927.9999999999999,7429.975,7568,7624,Bchron
932,7441,7583,7630,Bchron
936,7449.975,7606,7636,Bchron
940,7472.975,7621,7645.025,Bchron
944,7485,7623,7647,Bchron
948,7490.975,7624,7649,Bchron
952,7494,7626,7651,Bchron
956,7500,7628,7652.025,Bchron
960,7509,7629,7655,Bchron
964,7517.95,7631,7656.025,Bchron
968,7522.975,7632,7658,Bchron
972.0000000000001,7527,7634,7659,Bchron
976,7532.975,7636,7660.025,Bchron
980.0000000000001,7540,7637,7663,Bchron
984,7546,7639,7664,Bchron
988.0000000000001,7554.975,7641,7665.025,Bchron
992,7564,7644,7667,Bchron
996.0000000000001,7573.95,7645,7670,Bchron
1000,7580.95,7648,7672,Bchron
1003.9999999999999,7593.975,7655,7684,Bchron
1008,7605.975,7661,7698,Bchron
1011.9999999999999,7610,7666,7710,Bchron
1016,7617,7671,7719.025,Bchron
1019.9999999999999,7622,7676,7725.025,Bchron
1024,7627.975,7680,7733.025,Bchron
1028,7635.975,7686,7743,Bchron
1032,7642,7692,7752,Bchron
1036,7649.95,7698,7760.025,Bchron
1040,7654.975,7704,7767,Bchron
1044,7665,7711,7774,Bchron
1048,7680.975,7729,7794,Bchron
1052,7691,7743,7819.025,Bchron
1056,7699,7756,7832.025,Bchron
1060,7707,7768,7841.05,Bchron
1064,7714.975,7781,7856.05,Bchron
1068,7719.975,7793,7867.025,Bchron
1072,7732,7805,7883.05,Bchron
1076,7746.975,7819.5,7898.025,Bchron
1080,7768,7841.5,7922,Bchron
1084,7783.975,7852,7928,Bchron
1088,7793,7861,7937,Bchron
1092,7797,7869,7952,Bchron
1096,7806.95,7877,7958,Bchron
1100,7811,7886,7965,Bchron
1104,7819.975,7894,7973.025,Bchron
1108,7825.975,7902,7978,Bchron
1112,7835.925,7912,7983.025,Bchron
1116,7843.975,7922,7988.025,Bchron
1120,7852,7930,7991,Bchron
1124,7861,7937,7995,Bchron
1128,7868.975,7945,8001,Bchron
1132,7881.925,7953,8003.025,Bchron
1136,7894,7961,8007.05,Bchron
1140,7912,7972,8013.025,Bchron
1144,7937,7988,8033.05,Bchron
1148,7953.975,8011,8113.025,Bchron
1152,7962,8027,8159,Bchron
1156,7971,8041,8188.075,Bchron
1160,7979.975,8056,8212.05,Bchron
1164,7984,8072,8249.175,Bchron
1168,7988.975,8086,8283.075,Bchron
1172,7992.975,8100.5,8308.025,Bchron
1176,7998.95,8117,8331.025,Bchron
1180,8002,8132,8351.05,Bchron
1184,8008,8149.5,8382.025,Bchron
1188,8014,8163,8409.025,Bchron
1192,8019,8175.5,8431,Bchron
1196,8026.975,8189,8459.125,Bchron
1200,8032,8206,8493.075,Bchron
1204,8036.975,8223,8523.125,Bchron
