"","Depth","lwr_true","median_true","upr_true","lwr_2sd","median","upr_2sd","test_error","subset","runID","nfold"
"71",844.5,6814,7023,7233.95,7078.975,7136,7231,900.784858393563,0,"all dates",10
"72",844.5,6866.85,7065,7252.15,7070.975,7135,7206,900.784858393563,0,"all dates",10
"73",850.5,7171.525,7295.5,7419.475,7147,7227,7323,900.784858393563,0,"all dates",10
"74",850.5,7169.55,7294,7418.45,7142,7226,7334.025,900.784858393563,0,"all dates",10
"75",850.5,6899.775,7066.5,7242.225,7181,7279,7339,900.784858393563,0,"all dates",10
"76",870.5,7267.15,7384,7500.85,7290,7391.5,7519.05,900.784858393563,0,"all dates",10
"77",937.5,7585.75,7714,7842.25,7393.975,7502,7612.025,900.784858393563,0,"all dates",10
"78",1002.5,7493.875,7594.5,7687.125,7517.95,7619,7710.025,900.784858393563,0,"all dates",10
"79",1046.5,7585.75,7714,7842.25,7685,7755.5,7865,900.784858393563,0,"all dates",10
"80",1078.5,7688.15,7824,7959.85,7719.975,7813,7911.05,900.784858393563,0,"all dates",10
"81",1144.5,7852.05,7995,8158.95,7912.975,8139,8467.025,900.784858393563,0,"all dates",10
