"time","lat","lon","IM","SampleID","StudySite","vicinity_size"
6,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
6.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
7.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
