"","sampleID","LAT","MLWS","MLWN","MTL","MHWN","MHWS","HAT","StudySite","model"
"207","11-190-210",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"208","15-500-520",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"209","1C-425",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"210","7-250-270",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"211","9-350-370",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"212","2-210",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"213","1C-555",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"214","1A-350",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"215","2-204",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"216","1B-360",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"217","1A-355",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"218","7-500-520",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"219","1A-420",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"220","16-630-644",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"221","3-260",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"222","7-693-713",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"223","6-620-640",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"224","15-690-709",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"225","1A-518",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"226","Geochron BS30-5.3",-0.18372,-0.12716,-0.080607,-0.01114,0.061189,0.10202,0.1521,"Bulkhead","OSU"
"227","Geochron 22-1",-0.18321,-0.12691,-0.081227,-0.011349,0.061377,0.10137,0.15064,"Cangrejo","OSU"
"228","Geochron 14-4",-0.18325,-0.1269,-0.08107,-0.011284,0.061358,0.10148,0.15075,"Cangrejo","OSU"
"229","Geochron 7-3",-0.18325,-0.12694,-0.081201,-0.011323,0.061403,0.10144,0.15076,"Cangrejo","OSU"
"230","Geochron 16-4",-0.18322,-0.1269,-0.081191,-0.011324,0.061356,0.10144,0.15067,"Cangrejo","OSU"
"231","Geochron BS44-.9",-0.18365,-0.12712,-0.080702,-0.011185,0.06123,0.10185,0.15194,"Bulkhead","OSU"
"232","Geochron 16-5.4",-0.18322,-0.1269,-0.081191,-0.011324,0.061356,0.10144,0.15067,"Cangrejo","OSU"
"233","Geochron 9-5.4",-0.18323,-0.12692,-0.081221,-0.011343,0.061378,0.10139,0.15069,"Cangrejo","OSU"
"234","Geochron BS8-1.6",-0.18358,-0.12697,-0.080673,-0.011159,0.061201,0.1018,0.15185,"Bulkhead","OSU"
"235","Geochron BS30-3.8",-0.18372,-0.12716,-0.080607,-0.01114,0.061189,0.10202,0.1521,"Bulkhead","OSU"
"236","Geochron 22-3.9",-0.18321,-0.12691,-0.081227,-0.011349,0.061377,0.10137,0.15064,"Cangrejo","OSU"
"237","Geochron 7-4.9",-0.18325,-0.12694,-0.081201,-0.011323,0.061403,0.10144,0.15076,"Cangrejo","OSU"
"238","Geochron BS42-3.4",-0.1841,-0.12756,-0.080808,-0.011165,0.061413,0.10229,0.15252,"Bulkhead","OSU"
"239","Geochron BS25A-4.3",-0.18368,-0.12717,-0.080951,-0.011278,0.06119,0.10182,0.15174,"Bulkhead","OSU"
"240","Geochron BS8-3.2",-0.18358,-0.12697,-0.080673,-0.011159,0.061201,0.1018,0.15185,"Bulkhead","OSU"
"241","Beta-234828",-0.18347,-0.12673,-0.082051,-0.012174,0.060627,0.099463,0.14588,"Turneffe Island","OSU"
"242","WHOI-63006",-0.18347,-0.12673,-0.082051,-0.012174,0.060627,0.099463,0.14588,"Turneffe Island","OSU"
"243","WHOI-63028",-0.18347,-0.12673,-0.082051,-0.012174,0.060627,0.099463,0.14588,"Turneffe Island","OSU"
"244","Beta-234830",-0.18347,-0.12673,-0.082051,-0.012174,0.060627,0.099463,0.14588,"Turneffe Island","OSU"
"245","Beta-234829",-0.18347,-0.12673,-0.082051,-0.012174,0.060627,0.099463,0.14588,"Turneffe Island","OSU"
"246","TC-SSA",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"247","TC5-8B",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"248","CC10-7",-0.18174,-0.1224,-0.075716,-0.011549,0.056627,0.095288,0.14371,"Cat Cay","OSU"
"249","TC9-6B",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"250","TC-REU 1-8",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"251","TC8-26B",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"252","TC8-14B",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"253","TC9-19",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"254","TC-REU 1-32",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"255","TC5-35B",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"256","TC3-36B",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"257","TC5-65B",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"258","TC8-85B",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"259","TC-REU 1-64",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"260","TC3-64B",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"261","TC-REU 1-82",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"262","TC5-100B",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"263","TC3-80B",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"264","OS-58900",-0.18512,-0.12765,-0.081719,-0.011871,0.060644,0.10124,0.14949,"Spanish Lookout Cay","OSU"
"265","OS-55440",-0.18512,-0.12765,-0.081719,-0.011871,0.060644,0.10124,0.14949,"Spanish Lookout Cay","OSU"
"266","OS-58742",-0.18512,-0.12765,-0.081719,-0.011871,0.060644,0.10124,0.14949,"Spanish Lookout Cay","OSU"
"267","OS-55648",-0.18512,-0.12765,-0.081719,-0.011871,0.060644,0.10124,0.14949,"Spanish Lookout Cay","OSU"
"268","OS-58890",-0.18512,-0.12765,-0.081719,-0.011871,0.060644,0.10124,0.14949,"Spanish Lookout Cay","OSU"
"269","OS-59240",-0.18512,-0.12765,-0.081719,-0.011871,0.060644,0.10124,0.14949,"Spanish Lookout Cay","OSU"
"270","OS-55416",-0.18512,-0.12765,-0.081719,-0.011871,0.060644,0.10124,0.14949,"Spanish Lookout Cay","OSU"
"271","OS-59247",-0.18512,-0.12765,-0.081719,-0.011871,0.060644,0.10124,0.14949,"Spanish Lookout Cay","OSU"
"272","OS-55649",-0.18512,-0.12765,-0.081719,-0.011871,0.060644,0.10124,0.14949,"Spanish Lookout Cay","OSU"
"273","OS-42359",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"274","OS-54559",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"275","OS-54558",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"276","OS-40701",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"277","OS-40700",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"278","OS-40699",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"279","OS-40698",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"280","OS-40697",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"281","OS-65273",-0.18317,-0.12673,-0.081908,-0.012033,0.060844,0.099658,0.14656,"Turneffe Atoll","OSU"
"282","OS-65271",-0.18317,-0.12673,-0.081908,-0.012033,0.060844,0.099658,0.14656,"Turneffe Atoll","OSU"
"283","OS-66026",-0.18317,-0.12673,-0.081908,-0.012033,0.060844,0.099658,0.14656,"Turneffe Atoll","OSU"
"284","OS-65272",-0.18317,-0.12673,-0.081908,-0.012033,0.060844,0.099658,0.14656,"Turneffe Atoll","OSU"
"285","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"286","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"287","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"288","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"289","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"290","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"291","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"292","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"293","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"294","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"295","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"296","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"297","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"298","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"299","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"300","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"301","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"302","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"303","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"304","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"305","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"306","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"307","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"308","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"309","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"310","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"311","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"312","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"313","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"314","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"315","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"316","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"317","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"318","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"319","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"320","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"321","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"322","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"323","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"324","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"325","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"326","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"327","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"328","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"329","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"330","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"331","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"332","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"333","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"334","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"335","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"336","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"337","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"338","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"339","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"340","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"341","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"342","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"343","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"344","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"345","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"346","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"347","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"348","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"349","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"350","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"351","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"352","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"353","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"354","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"355","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"356","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"357","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"358","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"359","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"360","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"361","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"362","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"363","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"364","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"365","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"366","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"367","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"368","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"369","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"370","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"371","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"372","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"373","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"374","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"375","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"376","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"377","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
"378","GR/19/C1",-0.256088203969791,-0.119248681303925,-0.086394642594996,-0.011930473157879,0.0639017868164501,0.103870652362912,0.237721796030209,"Twin Cays","UTide"
