"","sampleID","LAT","MLWS","MLWN","MTL","MHWN","MHWS","HAT","StudySite","model"
"54","BBR 6-3.2",-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,"Carrie Bow Cay","OSU"
"55","BBR 7-3.0",-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,"Carrie Bow Cay","OSU"
"56","BBR 8-2.9",-0.18188,-0.12501,-0.080931,-0.012079,0.060587,0.097033,0.13804,"Nicholas Cay","OSU"
"57","BBR 8-8.3",-0.18188,-0.12501,-0.080931,-0.012079,0.060587,0.097033,0.13804,"Nicholas Cay","OSU"
"58","BBR 9-2.9",-0.18232,-0.12545,-0.081219,-0.012201,0.060817,0.097049,0.13903,"Ranguana Cay","OSU"
"59","BBR 9-10.7",-0.18232,-0.12545,-0.081219,-0.012201,0.060817,0.097049,0.13903,"Ranguana Cay","OSU"
"60","BBR 10-2.2",-0.18279,-0.12409,-0.078396,-0.011976,0.057901,0.096679,0.14407,"Cross Cay","OSU"
"61","BBR 10-4.2",-0.18279,-0.12409,-0.078396,-0.011976,0.057901,0.096679,0.14407,"Cross Cay","OSU"
"62","BBR 10-7.0",-0.18279,-0.12409,-0.078396,-0.011976,0.057901,0.096679,0.14407,"Cross Cay","OSU"
"63","BBR 11-2.0",-0.18279,-0.12409,-0.078396,-0.011976,0.057901,0.096679,0.14407,"Cross Cay","OSU"
"64","BBR 11-4.4",-0.18279,-0.12409,-0.078396,-0.011976,0.057901,0.096679,0.14407,"Cross Cay","OSU"
"65","BBR 11-6.8",-0.18279,-0.12409,-0.078396,-0.011976,0.057901,0.096679,0.14407,"Cross Cay","OSU"
"66","BBR 4-10.8",-0.18484,-0.12763,-0.081969,-0.011781,0.060888,0.10159,0.14967,"Gallow's Point Reef","OSU"
"67","BBR 6-12.2",-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,"Carrie Bow Cay","OSU"
"68","BBR 6-8.0",-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,"Carrie Bow Cay","OSU"
"69","BBR 7-8.9",-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,"Carrie Bow Cay","OSU"
"70","G5-460/465",-0.1843,-0.12712,-0.082623,-0.012504,0.061231,0.098492,0.14311,"Glover's Reef","OSU"
"71","G7-base",-0.18414,-0.12694,-0.082585,-0.01245,0.061151,0.098572,0.14337,"Glover's Reef","OSU"
