RSL,RSLer_up_2sd,Age,Age_up_er_2sd,RSLError,AgeError,AgeCE
-0.030352389245263844,0.32040927264045205,-68,1,0.16020463632022602,0.5,2018
-0.06900580245360133,0.3204107707006817,14,74,0.16020538535034085,37,1936
-0.10783292654017407,0.3204130833950572,43,95,0.1602065416975286,47.5,1907
-0.1467545702527614,0.32041635606508945,65.5,107.525,0.16020817803254472,53.7625,1884.5
-0.18573213462415195,0.3204206129926731,86.5125,115.5125,0.16021030649633655,57.75625,1863.4875
-0.22475902411849447,0.3204258712859622,106.97500000000001,117.05,0.1602129356429811,58.525,1843.025
-0.26382256951537786,0.3204322622111119,143.5,116.5,0.16021613110555594,58.25,1806.5
-0.30295110267339603,0.319753404604393,261.05,187.05,0.1598767023021965,93.525,1688.95
-0.34207876915646307,0.3197618615126908,314.52500000000003,215.55,0.1598809307563454,107.775,1635.475
-0.38122469462668573,0.31977136283201923,354.92499999999995,224.125,0.15988568141600962,112.0625,1595.075
-0.4203978869562071,0.3197818655575158,386.48749999999995,238.5625,0.1598909327787579,119.28125,1563.5125
-0.4595886629805358,0.31979340852313565,424.5125,253.6125,0.15989670426156782,126.80625,1525.4875
-0.4987937158928919,0.3198060475159634,455.475,262.525,0.1599030237579817,131.2625,1494.525
-0.538023585595815,0.3198197619433232,489.91249999999997,257.1375,0.1599098809716616,128.56875,1460.0875
-0.577269311253073,0.3198345029001223,540.0125,240.0374999999999,0.15991725145006114,120.01874999999995,1409.9875
-0.6165261978285103,0.3198502793886505,583.5125,235.51249999999993,0.15992513969432526,117.75624999999997,1366.4875
-0.6557970122985279,0.31986701549400354,688.9375,243.08749999999998,0.15993350774700177,121.54374999999999,1261.0625
-0.6950831868074733,0.31988487821501577,847.125,253.125,0.15994243910750788,126.5625,1102.875
-0.7343758886225012,0.31990382903028636,1074,223,0.15995191451514318,111.5,876
-0.8005772997001825,0.2865818412723995,1254.55,213.57500000000005,0.14329092063619975,106.78750000000002,695.45
-0.8398952067538391,0.2866052234461952,1438.0125,294.01250000000005,0.1433026117230976,147.00625000000002,511.98749999999995
-0.8792224278782258,0.28662985010191677,1516.4625,291.58749999999986,0.14331492505095839,145.79374999999993,433.5374999999999
-0.9185607280743706,0.2866556474457888,1574.9625,295.0374999999999,0.1433278237228944,147.51874999999995,375.0374999999999
-0.9579078320997985,0.2866825440527439,1641.5375,296.53750000000014,0.14334127202637195,148.26875000000007,308.4625000000001
-0.9972626427366151,0.28671054068741525,1706.475,289.5500000000002,0.14335527034370762,144.7750000000001,243.5250000000001
-1.0366277407584639,0.2867396087853799,1831.4875,286.51250000000005,0.14336980439268995,143.25625000000002,118.51250000000005
-1.0759965722634255,0.2867698695350216,2025.0375,247.0625,0.1433849347675108,123.53125,-75.03749999999991
-1.096421654271234,0.300388864280167,2292.0375,271.0374999999999,0.1501944321400835,135.51874999999995,-342.0374999999999
-1.1358128491691784,0.3004200089075695,2489.5125,369.5125000000003,0.15021000445378474,184.75625000000014,-539.5124999999998
-1.1752102974572303,0.3004523974818757,2566.0125,410.0125000000003,0.15022619874093784,205.00625000000014,-616.0124999999998
-1.214613794060157,0.30048565031807434,2620.5,433.5999999999999,0.15024282515903717,216.79999999999995,-670.5
-1.2540261840740374,0.3005199869058197,2665.5249999999996,450.5500000000002,0.15025999345290986,225.2750000000001,-715.5249999999996
-1.2934521552536338,0.30055556746521417,2713.5,468.5250000000001,0.15027778373260708,234.26250000000005,-763.5
-1.3328741388876282,0.3005919872230063,2751.4125000000004,478.6124999999997,0.15029599361150314,239.30624999999986,-801.4125000000004
-1.3723157054269755,0.30062960577817266,2796.5125,477.5125000000003,0.15031480288908633,238.75625000000014,-846.5124999999998
-1.4117480045799327,0.3006685825714279,2840.475,479.5250000000001,0.15033429128571396,239.76250000000005,-890.4749999999999
-1.4511938686373176,0.3007082970603546,2895,485.0250000000001,0.1503541485301773,242.51250000000005,-945
-1.4906529652453604,0.30074925182976264,3050.05,534.0749999999998,0.15037462591488132,267.0374999999999,-1100.0500000000002
-1.530121284418096,0.3007910832511226,3136.4625,537.5374999999999,0.1503955416255613,268.76874999999995,-1186.4625
-1.5695881915397605,0.3008342971239121,3176.9625,536.0875000000001,0.15041714856195604,268.04375000000005,-1226.9625
-1.609060543027168,0.30087842371919427,3241.4625,549.5374999999999,0.15043921185959713,274.76874999999995,-1291.4625
-1.6662329971501222,0.28822846008242897,3303.5,553.5250000000001,0.14411423004121449,276.76250000000005,-1353.5
-1.7057161630290039,0.2882768643593888,3340.9625,558.0875000000001,0.1441384321796944,279.04375000000005,-1390.9625
-1.745201706222661,0.28832626057247024,3370.9375,556.1374999999998,0.14416313028623512,278.0687499999999,-1420.9375
-1.7846948748205536,0.28837690600657173,3395.5,547.5250000000001,0.14418845300328587,273.76250000000005,-1445.5
-1.8241977502264963,0.28842840353667487,3424,537.0500000000002,0.14421420176833744,268.5250000000001,-1474
-1.863707228507731,0.28848103896940525,3448.3625,531.6374999999998,0.14424051948470262,265.8187499999999,-1498.3625000000002
-1.9032189581579746,0.2885346098873476,3476.4750000000004,525.5499999999997,0.1442673049436738,262.77499999999986,-1526.4750000000004
-1.9427269141080732,0.2885891101784086,3507.4875,522.5124999999998,0.1442945550892043,261.2562499999999,-1557.4875000000002
-1.982242961805355,0.28864499015629685,3547.35,511.6500000000001,0.14432249507814843,255.82500000000005,-1597.35
-2.0217737325141902,0.28870234594317623,3593.4875,495.5625,0.14435117297158812,247.78125,-1643.4875000000002
-2.0613091437880846,0.2887604270397651,3624.9874999999997,479.0374999999999,0.14438021351988256,239.51874999999995,-1674.9874999999997
-2.1008407377166036,0.28881966779753065,3652.4375,474.58749999999964,0.14440983389876533,237.29374999999982,-1702.4375
-2.140376291440294,0.28887995998627014,3669.4875,466.6125000000002,0.14443997999313507,233.3062500000001,-1719.4875000000002
-2.1799151012509737,0.2889413600403854,3699.3875,457.6374999999998,0.1444706800201927,228.8187499999999,-1749.3874999999998
-2.2194617917272677,0.28900393037626526,3721.4625,448.5875000000001,0.14450196518813263,224.29375000000005,-1771.4625
-2.259014732822854,0.2890674324717275,3737.95,445.0500000000002,0.14453371623586375,222.5250000000001,-1787.9499999999998
-2.298571322944536,0.28913187167770005,3752.4874999999997,439.5374999999999,0.14456593583885002,219.76874999999995,-1802.4874999999997
-2.3381279453005983,0.28919717922059407,3774.9125,423.0875000000001,0.14459858961029703,211.54375000000005,-1824.9125
-2.377691953925475,0.28926367761996574,3805.4375,399.66250000000036,0.14463183880998287,199.83125000000018,-1855.4375
-2.4172594087441617,0.28933145828141327,3828.4875,387.5625,0.14466572914070663,193.78125,-1878.4875000000002
-2.4568299391685566,0.2894003995849954,3856.425,374.5749999999998,0.1447001997924977,187.2874999999999,-1906.4250000000002
-2.4964070649396435,0.2894703799368614,3878.425,365.625,0.1447351899684307,182.8125,-1928.4250000000002
-2.535988845511432,0.28954140061197187,3909.325,355.6999999999998,0.14477070030598593,177.8499999999999,-1959.3249999999998
-2.5755727031911264,0.2896133500326905,3964.9624999999996,351.0625,0.14480667501634525,175.53125,-2014.9624999999996
-2.6151578529275916,0.28968612588734977,4062.9624999999996,362.0625,0.14484306294367488,181.03125,-2112.9624999999996
-2.6547496328807263,0.2897596660314845,4137.85,343.14999999999964,0.14487983301574225,171.57499999999982,-2187.8500000000004
-2.694341424496615,0.28983482584301523,4191.45,339.5749999999998,0.14491741292150762,169.7874999999999,-2241.45
-2.73394094489906,0.28991093062338935,4227.424999999999,334.60000000000036,0.14495546531169468,167.30000000000018,-2277.4249999999993
-2.7474810327523636,0.33825378253998517,4280.9125,328.1875,0.16912689126999259,164.09375,-2330.9125000000004
-2.7870942023423115,0.33832089299808854,4321.525,312.5500000000002,0.16916044649904427,156.2750000000001,-2371.5249999999996
-2.826712448119263,0.33838905226536586,4354.4125,300.6124999999993,0.16919452613268293,150.30624999999964,-2404.4125000000004
-2.866337463078421,0.33845782920464895,4383.424999999999,292.60000000000036,0.16922891460232448,146.30000000000018,-2433.4249999999993
-2.9059671065942947,0.3385274659374582,4408.3875,283.6374999999998,0.1692637329687291,141.8187499999999,-2458.3875
-2.945588848968697,0.33859826394738035,4435,280.02499999999964,0.16929913197369018,140.01249999999982,-2485
-2.985223345318478,0.33866992895224324,4453,277.10000000000036,0.16933496447612162,138.55000000000018,-2503
-3.0248578719897834,0.3387425913636257,4484.975,263.0499999999993,0.16937129568181286,131.52499999999964,-2534.9750000000004
-3.06449974533644,0.3388160144312886,4515.375,249.625,0.1694080072156443,124.8125,-2565.375
-3.1041470773538267,0.3388901062079288,4537.4625,242.5625,0.1694450531039644,121.28125,-2587.4624999999996
-3.143788366342079,0.3389655627757593,4566.475,229.52499999999964,0.16948278138787964,114.76249999999982,-2616.4750000000004
-3.1834418651743936,0.3390414963276285,4599,211.02499999999964,0.16952074816381424,105.51249999999982,-2649
-3.223096833567867,0.3391182882305215,4645.975,180.02499999999964,0.16955914411526074,90.01249999999982,-2695.9750000000004
-3.262750604415018,0.3391962084926974,4690.487499999999,164.53750000000036,0.1695981042463487,82.26875000000018,-2740.4874999999993
-3.30240778572749,0.33927525070515063,4791.55,158.55000000000018,0.16963762535257532,79.27500000000009,-2841.55
-3.342076190607977,0.33935465779204543,4958.525,177.57500000000073,0.16967732889602272,88.78750000000036,-3008.5249999999996
-3.3817448745675462,0.3394357425876451,5045.05,182.07499999999982,0.16971787129382254,91.03749999999991,-3095.05
-3.421408448877399,0.3395171850214762,5074.9875,194.01249999999982,0.1697585925107381,97.00624999999991,-3124.9875
-3.461085236739342,0.3395994993410376,5100.512500000001,209.53749999999945,0.1697997496705188,104.76874999999973,-3150.5125000000007
-3.5007601094588146,0.33968262192571563,5119.9875,216.01249999999982,0.16984131096285782,108.00624999999991,-3169.9875
-3.5404401877547507,0.3397667722858271,5139.95,226.07499999999982,0.16988338614291354,113.03749999999991,-3189.95
-3.5801277549435673,0.3398515462534215,5163.4875,245.51249999999982,0.16992577312671076,122.75624999999991,-3213.4875
-3.619811056756232,0.33993713112424273,5201,263,0.16996856556212137,131.5,-3251
-3.659498747419387,0.3400236517998443,5223.5,274.52499999999964,0.17001182589992214,137.26249999999982,-3273.5
-3.6991888629247662,0.34011073101388467,5240.525,284.52500000000055,0.17005536550694234,142.26250000000027,-3290.5249999999996
-3.738856111134561,0.3411670131205349,5253.5125,287.5124999999998,0.17058350656026744,143.7562499999999,-3303.5125
-3.778548902423404,0.34125600930926625,5263.0125,290.0124999999998,0.17062800465463313,145.0062499999999,-3313.0125
-3.818256486071143,0.34134611341356913,5272.5,290.52499999999964,0.17067305670678456,145.26249999999982,-3322.5
-3.8579654284511777,0.3414365461110185,5282.9875,293.0124999999998,0.17071827305550924,146.5062499999999,-3332.9875
-3.897681315943026,0.3415279952394572,5288.5,294.5,0.1707639976197286,147.25,-3338.5
-3.9373935298308522,0.34162048067542927,5296.5,295.5,0.17081024033771464,147.75,-3346.5
-3.9771081458806252,0.34171388912134604,5305.5125,297.5124999999998,0.17085694456067302,148.7562499999999,-3355.5125
-4.0168269212447605,0.341808042355781,5325.987499999999,301.03750000000036,0.1709040211778905,150.51875000000018,-3375.9874999999993
-4.056556676632469,0.34190292864320093,5357.5,296.52499999999964,0.17095146432160047,148.26249999999982,-3407.5
-4.096279377627153,0.34199875993920514,5370.0125,290.0124999999998,0.17099937996960257,145.0062499999999,-3420.0125
-4.136006944855062,0.342095603502778,5381,286,0.171047801751389,143,-3431
-4.1757394107001105,0.34219339362971457,5386.5125,283.5124999999998,0.17109669681485729,141.7562499999999,-3436.5125
-4.21547278952001,0.3422914582840335,5391.975,283.02499999999964,0.17114572914201676,141.51249999999982,-3441.9750000000004
-4.2552024993177895,0.3423905878554012,5395.5125,282.5124999999998,0.1711952939277006,141.2562499999999,-3445.5125
-4.294945934725886,0.3424904885669757,5403.975,279.02499999999964,0.17124524428348786,139.51249999999982,-3453.9750000000004
-4.334688080376371,0.3425908670706297,5410.475,276.52499999999964,0.17129543353531484,138.26249999999982,-3460.4750000000004
-4.374432821652535,0.3426924791572059,5419.475,270.52499999999964,0.17134623957860295,135.26249999999982,-3469.4750000000004
-4.414179642384013,0.3427946526322665,5425.5,267.5,0.17139732631613325,133.75,-3475.5
-4.453935583779815,0.34289764173531223,5429.025,267.02500000000055,0.17144882086765612,133.51250000000027,-3479.0249999999996
-4.493687003191514,0.3430016347080742,5436.487499999999,263.53750000000036,0.1715008173540371,131.76875000000018,-3486.4874999999993
-4.533437045494469,0.34310709235687575,5440.975,264.0499999999993,0.17155354617843788,132.02499999999964,-3490.9750000000004
-4.5731966853992025,0.3432129151470962,5446.4875,262.5124999999998,0.1716064575735481,131.2562499999999,-3496.4875
-4.612960676969976,0.3433195040231971,5450.5125,259.5124999999998,0.17165975201159855,129.7562499999999,-3500.5125
-4.652727696533912,0.34342707213776835,5458.0125,257.0124999999998,0.17171353606888418,128.5062499999999,-3508.0125
-4.692495730466293,0.3435356207805831,5464.5125,253.51249999999982,0.17176781039029154,126.75624999999991,-3514.5125
-4.732269605914393,0.3436446377912703,5469.4875,251.51249999999982,0.17182231889563515,125.75624999999991,-3519.4875
-4.772046294524763,0.3437546426477178,5482.5125,243.51249999999982,0.1718773213238589,121.75624999999991,-3532.5125
-4.811821558743649,0.34386558728148486,5497.475,239.52499999999964,0.17193279364074243,119.76249999999982,-3547.4750000000004
-4.8516000070839365,0.34397716257986666,5510,236,0.17198858128993333,118,-3560
-4.8913732298318,0.3440896366199464,5521,235,0.1720448183099732,117.5,-3571
-4.931154703616853,0.344202398253731,5540.549999999999,232.60000000000036,0.1721011991268655,116.30000000000018,-3590.5499999999993
-4.970941183453551,0.34431652698624315,5593,255,0.17215826349312158,127.5,-3643
-5.0107310892732,0.34443127915166505,5692.025,261.02500000000055,0.17221563957583252,130.51250000000027,-3742.0249999999996
-5.050516197611536,0.3445468616429852,5769.0125,237.01249999999982,0.1722734308214926,118.50624999999991,-3819.0125
-5.090313647902168,0.34466334349868566,5811.987499999999,232.03750000000036,0.17233167174934283,116.01875000000018,-3861.9874999999993
-5.130111674055417,0.3447812728684787,5832.025,227.05000000000018,0.17239063643423935,113.52500000000009,-3882.0249999999996
-5.1699103250235225,0.3448992043061927,5851.575000000001,229.59999999999945,0.17244960215309635,114.79999999999973,-3901.5750000000007
-5.209714159663633,0.3450180169286545,5876.425,233.57499999999982,0.17250900846432726,116.78749999999991,-3926.425
-5.249518631674952,0.34513724009887436,5894.5625,229.6875,0.17256862004943718,114.84375,-3944.5625
-5.28932661694242,0.3452577155718526,5915.5375,227.53749999999945,0.1726288577859263,113.76874999999973,-3965.5375000000004
-5.329136602746791,0.34537891063182924,5935.987499999999,224.16250000000036,0.17268945531591462,112.08125000000018,-3985.9874999999993
-5.368946418825232,0.3455007965488224,5959.512500000001,219.53749999999945,0.1727503982744112,109.76874999999973,-4009.5125000000007
-5.408760694432141,0.34562363861353074,5982.9625,213.03750000000036,0.17281181930676537,106.51875000000018,-4032.9624999999996
-5.448576559756761,0.34574760332520516,6007.0125,207.0625,0.17287380166260258,103.53125,-4057.0125
-5.488399285884581,0.3458717298526097,6043.025,202.02500000000055,0.17293586492630486,101.01250000000027,-4093.0249999999996
-5.52821864597383,0.3459973350522483,6086,187.02499999999964,0.17299866752612414,93.51249999999982,-4136
-5.568045569109058,0.34612357655145853,6113.525,181.52500000000055,0.17306178827572927,90.76250000000027,-4163.525
-5.607876288315039,0.34625017793401325,6144,172.05000000000018,0.17312508896700662,86.02500000000009,-4194
-5.647710546736615,0.34637858269379906,6173.5,166.5,0.17318929134689953,83.25,-4223.5
-5.68754271830479,0.3465067604138605,6224.487499999999,175.53750000000036,0.17325338020693026,87.76875000000018,-4274.487499999999
-5.727524105032721,0.3392023500424055,6315.5375,166.5625,0.16960117502120275,83.28125,-4365.5375
-5.767361799219605,0.33933457247594223,6376,137.05000000000018,0.16966728623797112,68.52500000000009,-4426
