"","SiteName","data_type_id","Age","true_RSL","RSLer_up_2sd","Age_up_er_2sd","RSL_err","Age_err","AgeCE","CV_fold","test_set","NI_var_grid_term","pred_RSL","upr","lwr","y_post_pred","upr_PI","lwr_PI","CI","CV_fold_number","obs_in_PI","nseg","RMSE"
"1",",
 ","ProxyRecord",1641.5375,-0.957970181,0.286726175796548,296.5375,0.143363087898274,148.26875,308.4625,1,"test_set",0.000132897753865602,-0.903376265328814,-1.0088217701668,-0.795944721844225,-0.904499093730284,-1.25209069734214,-0.578898871763901,"95%","1",TRUE,5,0.195877395517457
"2",",
 ","ProxyRecord",2665.525,-1.254088565,0.300565543276673,450.55,0.150282771638337,225.275,-715.525,1,"test_set",0.000277176250645939,-1.30323852868024,-1.37481246227864,-1.23165940504627,-1.30980516492128,-1.64864272461391,-0.983993320917021,"95%","1",TRUE,5,0.195877395517457
"3",",
 ","ProxyRecord",2895,-1.451256277,0.300753825014529,485.025,0.150376912507265,242.5125,-945,1,"test_set",0.000327918887527145,-1.44424271423239,-1.51162382276214,-1.3809731732005,-1.45120840216633,-1.79933162979618,-1.10698685472327,"95%","1",TRUE,5,0.195877395517457
"4",",
 ","ProxyRecord",3340.9625,-1.705778615,0.288320523167636,558.0875,0.144160261583818,279.04375,-1390.9625,1,"test_set",0.000442871481931562,-1.7897909709082,-1.85321904087781,-1.72814703688917,-1.78511787661453,-2.12521715157396,-1.46707256994547,"95%","1",TRUE,5,0.195877395517457
"5",",
 ","ProxyRecord",4515.375,-3.064499745,0.338816014431289,249.625,0.169408007215644,124.8125,-2565.375,1,"test_set",0.000629652916339651,-3.08699424463555,-3.14468412102089,-3.0274068918854,-3.07928984989493,-3.45420538861812,-2.69455331538612,"95%","1",TRUE,5,0.195877395517457
"6",",
 ","ProxyRecord",4791.55,-3.302407786,0.339275250705151,158.55,0.169637625352575,79.2750000000001,-2841.55,1,"test_set",0.000641906879839116,-3.43824106869855,-3.49809933699874,-3.37748213624001,-3.44521596537162,-3.80329173639428,-3.08357445745404,"95%","1",TRUE,5,0.195877395517457
"7",",
 ","ProxyRecord",5436.4875,-4.493687003,0.343001634708074,263.5375,0.171500817354037,131.76875,-3486.4875,1,"test_set",0.000714987637651099,-4.30178945097511,-4.34668710158723,-4.25785208478255,-4.31158761691293,-4.70168659157668,-3.937558741485,"95%","1",TRUE,5,0.195877395517457
"8",",
 ","ProxyRecord",5769.0125,-5.050516198,0.344546861642985,237.0125,0.172273430821493,118.50625,-3819.0125,1,"test_set",0.000807677114678107,-4.80850077334746,-4.85521449783646,-4.76356396993674,-4.81418052361502,-5.17435653337649,-4.42537314420158,"95%","1",TRUE,5,0.195877395517457
"9",",
 ","ProxyRecord",5894.5625,-5.249518632,0.345137240098874,229.6875,0.172568620049437,114.84375,-3944.5625,1,"test_set",0.000852441216281363,-5.01754333388448,-5.06834990646994,-4.9678469964377,-5.0188709424986,-5.4072837746009,-4.6510529491471,"95%","1",TRUE,5,0.195877395517457
"10",",
 ","ProxyRecord",5915.5375,-5.289326617,0.345257715571853,227.537499999999,0.172628857785926,113.76875,-3965.5375,1,"test_set",0.00086044170799493,-5.05357324051173,-5.10486768834985,-5.00310163945973,-5.0575854256186,-5.43163061806618,-4.68833090012895,"95%","1",TRUE,5,0.195877395517457
"11",",
 ","ProxyRecord",5982.9625,-5.408760694,0.345623638613531,213.0375,0.172811819306765,106.51875,-4032.9625,1,"test_set",0.000887171929275787,-5.17167593500726,-5.22475512195372,-5.11995072394523,-5.16819483985929,-5.57091149893447,-4.77272900017195,"95%","1",TRUE,5,0.195877395517457
"12",",
 ","ProxyRecord",6401.5125,-5.807199824,0.339467945253441,126.5125,0.169733972626721,63.2562499999999,-4451.5125,1,"test_set",0.00108764982460485,-5.99386181797366,-6.04956276411082,-5.93681434608928,-5.99504220699956,-6.37506348983648,-5.61718919774118,"95%","1",TRUE,5,0.195877395517457
"13",",
 ","ProxyRecord",6483.5,-6.006430847,0.340146513072739,115.525,0.17007325653637,57.7624999999998,-4533.5,1,"test_set",0.00113392763945175,-6.17539844243559,-6.2295866708074,-6.11979700091453,-6.17985312819772,-6.5492392208764,-5.80693079518122,"95%","1",TRUE,5,0.195877395517457
