Site,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,Age_er_max,Age_er_min,Type,Indicator,SubRegion_No
Belize_8,16.11466667,-88.26166667,-20.38860112,0.808596956,0.808596956,8013,238,238,-1,1,8
Belize_7,16.83795,-87.75508,-14.71279399,0.744856733,0.744856733,1877,1328,1328,-1,1,7
Belize_7,16.83795,-87.75508,-15.91199113,0.745659598,0.745659598,2781.5,1437.5,1437.5,-1,1,7
Belize_6,17.3739,-87.49748,-11.91200392,0.7456468,0.7456468,4807.5,1417.5,1417.5,-1,1,6
Belize_7,16.83795,-87.75508,-17.31039264,0.747258085,0.747258085,5263.5,1409.5,1409.5,-1,1,7
Belize_3,17.25859,-87.88834,-5.712484121,0.745166603,0.745166603,8273.5,1285.5,1285.5,1,1,3
Belize_7,16.77466,-87.81556,-15.31157697,0.746073753,0.746073753,8214,1335,1335,-1,1,7
Belize_7,16.83795,-87.75508,-19.2086594,0.748991323,0.748991323,11530.5,1628.5,1628.5,1,1,7
Belize_3,17.32531,-87.84138,-5.112703755,0.74494697,0.74494697,5695,1459,1459,1,1,3
Belize_4,16.902127,-88.08683,-1.297832837,0.315204079,0.315204079,1929,1280,1280,0,1,4
Belize_4,16.901508,-88.086359,-1.107542874,0.315494043,0.315494043,2309,1378,1378,0,1,4
Belize_4,16.896892,-88.082872,-0.757843622,0.315193294,0.315193294,2639.5,1450.5,1450.5,0,1,4
Belize_4,16.901508,-88.086359,-3.434300768,0.318736148,0.318736148,2919,1501,1501,0,1,4
Belize_4,16.907414,-88.08148,-2.557895662,0.315141255,0.315141255,3428.5,1541.5,1541.5,0,1,4
Belize_4,16.899691,-88.084984,-1.63717856,0.315858356,0.315858356,4054,1541,1541,0,1,4
Belize_4,16.902127,-88.08683,-3.14623311,0.316803806,0.316803806,4056.5,1538.5,1538.5,0,1,4
Belize_4,16.896892,-88.082872,-3.644487392,0.318549524,0.318549524,5482,1478,1478,0,1,4
Belize_4,16.902127,-88.08683,-3.974826739,0.318210178,0.318210178,6275.5,1305.5,1305.5,0,1,4
Belize_4,16.904141,-88.088323,-4.947783363,0.315253553,0.315253553,6298.5,1324.5,1324.5,0,1,4
Belize_4,16.90365,-88.087999,-6.467811523,0.315225393,0.315225393,6324.5,1348.5,1348.5,0,1,4
Belize_4,16.899691,-88.084984,-7.312245894,0.330791022,0.330791022,6632.5,1307.5,1307.5,0,1,4
Belize_4,16.902874,-88.08738,-7.107888038,0.315148878,0.315148878,6644.5,1318.5,1318.5,0,1,4
Belize_4,16.90365,-88.087999,-6.887618498,0.315418418,0.315418418,6887,1279,1279,0,1,4
Belize_4,16.896892,-88.082872,-5.948223635,0.324813281,0.324813281,6925,1258,1258,0,1,4
Belize_4,16.90365,-88.087999,-7.666965106,0.316071811,0.316071811,7173,1243,1243,0,1,4
Belize_4,16.904141,-88.088323,-7.474826739,0.318210178,0.318210178,7182.5,1245.5,1245.5,0,1,4
Belize_4,16.902127,-88.08683,-8.46041611,0.332620806,0.332620806,7531,1321,1321,0,1,4
Belize_4,16.907414,-88.08148,-8.177895662,0.315141255,0.315141255,7612.5,1330.5,1330.5,0,1,4
Belize_4,16.902874,-88.08738,-8.387243582,0.315793335,0.315793335,7626,1348,1348,0,1,4
Belize_4,16.902874,-88.08738,-9.515821605,0.317215311,0.317215311,7820.5,1323.5,1323.5,0,1,4
Belize_4,16.901508,-88.086359,-8.028773037,0.334263879,0.334263879,7959,1320,1320,0,1,4
Belize_4,16.904141,-88.088323,-10.05785178,0.325185141,0.325185141,7972,1326,1326,0,1,4
Belize_4,16.830427,-88.098941,-1.115668152,0.645634245,0.645634245,1016.5,1028.5,1028.5,0,1,4
Belize_4,16.835852,-88.103607,-2.212187547,0.413560588,0.413560588,820.5,834.5,834.5,-1,1,4
Belize_4,16.830427,-88.098941,-1.492474908,0.437625443,0.437625443,1148.5,1149.5,1149.5,-1,1,4
Belize_4,16.827442,-88.105276,-2.467569811,0.415923123,0.415923123,2760,1455,1455,0,1,4
Belize_4,16.829922,-88.098336,-2.642494328,0.413301884,0.413301884,1807,1326,1326,-1,1,4
Belize_4,16.829922,-88.098336,-3.90082303,0.414711729,0.414711729,1891,1344,1344,-1,1,4
Belize_4,16.823118,-88.105349,-1.868454026,0.464505074,0.464505074,3219.5,1591.5,1591.5,0,1,4
Belize_4,16.834795,-88.10395,-1.646089272,0.456491892,0.456491892,3904.5,1552.5,1552.5,0,1,4
Belize_4,16.824409,-88.105068,-1.850546013,0.630529591,0.630529591,4198.5,1461.5,1461.5,0,1,4
Belize_4,16.829136,-88.107392,-2.4018397,0.413853969,0.413853969,3202,1494,1494,-1,1,4
Belize_4,16.833215,-88.107582,-1.615011133,0.653701721,0.653701721,4502,1496,1496,0,1,4
Belize_4,16.829922,-88.098336,-5.157984664,0.417108639,0.417108639,3552,1498,1498,-1,1,4
Belize_4,16.829136,-88.107392,-4.277638065,0.417401552,0.417401552,3830.5,1480.5,1480.5,-1,1,4
Belize_4,16.834778,-88.10474,-3.168683581,0.447208116,0.447208116,4862.5,1450.5,1450.5,0,1,4
Belize_4,16.830536,-88.101026,-5.198980669,0.424733261,0.424733261,4131,1448,1448,-1,1,4
Belize_4,16.823744,-88.105482,-4.589825862,0.439858384,0.439858384,4608.5,1432.5,1432.5,-1,1,4
Belize_4,16.833278,-88.108154,-4.613170747,0.589260294,0.589260294,6040,1395,1395,0,1,4
Belize_4,16.8363,-88.103443,-3.77334527,0.589123587,0.589123587,6235.5,1335.5,1335.5,0,1,4
Belize_4,16.834778,-88.10474,-6.234795133,0.446408663,0.446408663,6579,1267,1267,0,1,4
Belize_4,16.823118,-88.105349,-5.818215596,0.655970852,0.655970852,6626.5,1306.5,1306.5,0,1,4
Belize_4,16.832209,-88.106094,-3.488982065,0.442221732,0.442221732,6751.5,1275.5,1275.5,0,1,4
Belize_4,16.833278,-88.108154,-6.589846064,0.587820519,0.587820519,6750,1269,1269,0,1,4
Belize_4,16.833215,-88.107582,-4.3135833,0.651688302,0.651688302,6874,1292,1292,0,1,4
Belize_4,16.823118,-88.105349,-7.243276686,0.659920351,0.659920351,6897,1285,1285,0,1,4
Belize_4,16.824409,-88.105068,-4.790491195,0.654154034,0.654154034,6917.5,1262.5,1262.5,0,1,4
Belize_4,16.833215,-88.107582,-4.243681702,0.651609889,0.651609889,6923.5,1257.5,1257.5,0,1,4
Belize_4,16.823744,-88.105482,-7.147732102,0.486617883,0.486617883,6947,1253,1253,0,1,4
Belize_4,16.824409,-88.105068,-4.650352786,0.654264486,0.654264486,6950.5,1235.5,1235.5,0,1,4
Belize_4,16.832209,-88.106094,-6.534795133,0.446408663,0.446408663,7177.5,1244.5,1244.5,0,1,4
Belize_4,16.824409,-88.105068,-5.758380528,0.65583911,0.65583911,7204.5,1253.5,1253.5,0,1,4
Belize_4,16.829136,-88.107392,-8.171770015,0.436838644,0.436838644,7320.5,1314.5,1314.5,0,1,4
Belize_4,16.834795,-88.10395,-4.589444112,0.47887635,0.47887635,7580,1396,1396,0,1,4
Belize_4,16.832209,-88.106094,-8.890050966,0.444478108,0.444478108,7700.5,1301.5,1301.5,0,1,4
Belize_4,16.827442,-88.105276,-6.967723456,0.414378456,0.414378456,7968,1326,1326,0,1,4
Belize_4,16.834778,-88.10474,-8.600537629,0.41535909,0.41535909,7972.5,1318.5,1318.5,0,1,4
Belize_4,16.824409,-88.105068,-7.141135462,0.457536497,0.457536497,8130.5,1333.5,1333.5,0,1,4
Belize_1,17.93425,-88.14624,-5.365220682,0.303318686,0.303318686,7173,1241,1241,0,1,1
