component,modelID,df2s,dsd2s,yearBP,siteID,model_ranking
1,1,0.688797014448777,3.58121019915156,18868,1,1
1,1,1.96367759575143,3.58261298890568,18768,1,1
1,1,2.89434783147175,3.59158324513543,18668,1,1
1,1,3.45176691375201,3.60716785645988,18568,1,1
1,1,3.65154496020643,3.63007383865206,18468,1,1
1,1,3.55424604819163,3.66122022046878,18368,1,1
1,1,3.25104413977833,3.70135000402977,18268,1,1
1,1,2.82381993368738,3.75136744653158,18168,1,1
1,1,2.32989544559729,3.81477777711288,18068,1,1
1,1,1.81255220187368,3.90006770839971,17968,1,1
1,1,1.30668096730961,4.01743539774263,17868,1,1
1,1,0.838545203045946,4.17177580737086,17768,1,1
1,1,0.425900802312003,4.35775529657449,17668,1,1
1,1,0.0781177454324684,4.55946626582061,17568,1,1
1,1,-0.203000391123447,4.75470755618426,17468,1,1
1,1,-0.419050934864259,4.92338293119774,17368,1,1
1,1,-0.57171250689999,5.05205420627286,17268,1,1
1,1,-0.662409900592179,5.13344312248031,17168,1,1
1,1,-0.692333904386074,5.16529008080774,17068,1,1
1,1,-0.662461062502157,5.14936975669849,16968,1,1
1,1,-0.573572926158054,5.0907374561082,16868,1,1
1,1,-0.426274906955692,4.99716668506854,16768,1,1
1,1,-0.221014853060402,4.87869763149037,16668,1,1
1,1,0.0418985404247763,4.74719237590432,16568,1,1
1,1,0.362277366293023,4.61576900007025,16468,1,1
1,1,0.740036069294433,4.49797491581443,16368,1,1
1,1,1.17517282014258,4.40659680667445,16268,1,1
1,1,1.66775057615604,4.35213939918728,16168,1,1
1,1,2.2178777060727,4.34123909559785,16068,1,1
1,1,2.82568804933349,4.37549086627375,15968,1,1
1,1,3.49132027913011,4.45114765037246,15868,1,1
1,1,4.21489643332661,4.55982062603422,15768,1,1
1,1,4.99649947087974,4.68988037467203,15668,1,1
1,1,5.83614970845744,4.82805217676642,15568,1,1
1,1,6.73377998206063,4.96080129709298,15468,1,1
1,1,7.68920937584124,5.07534819527996,15368,1,1
1,1,8.70211534660187,5.16035023440478,15268,1,1
1,1,9.77200407193041,5.20637404818628,15168,1,1
1,1,10.8981788316089,5.2062918160947,15068,1,1
1,1,12.0797062305081,5.15571381816461,14968,1,1
1,1,13.3153800529031,5.05354607144463,14868,1,1
1,1,14.6036825326294,4.90273831527949,14768,1,1
1,1,15.9427428052773,4.71124208393985,14668,1,1
1,1,17.3302615798312,4.49306672920608,14568,1,1
1,1,18.7583306578058,4.26835147939953,14468,1,1
1,1,20.1821449599415,4.05788517088039,14368,1,1
1,1,21.5014796605939,3.87639341106916,14268,1,1
1,1,22.5897320954595,3.73234637954191,14168,1,1
1,1,23.3266430718067,3.63009107015065,14068,1,1
1,1,23.6207666277873,3.56995230333672,13968,1,1
1,1,23.4226149878907,3.54682523638396,13868,1,1
1,1,22.7321578555856,3.54999316844148,13768,1,1
1,1,21.5996103936003,3.56562630019302,13668,1,1
1,1,20.1252647176873,3.58168034438789,13568,1,1
1,1,18.4480043465935,3.5927800710382,13468,1,1
1,1,16.7042350169515,3.60025996148418,13368,1,1
1,1,14.997872820925,3.60681932149563,13268,1,1
1,1,13.3970344016398,3.61245709597707,13168,1,1
1,1,11.9359931538754,3.61462260568851,13068,1,1
1,1,10.6250494558737,3.6107863417531,12968,1,1
1,1,9.46526215618247,3.60090071676175,12868,1,1
1,1,8.46092902538833,3.58977989408632,12768,1,1
1,1,7.62384398821514,3.58901650353047,12668,1,1
1,1,6.96656502322755,3.61593246762254,12568,1,1
1,1,6.49739523488331,3.68733313724767,12468,1,1
1,1,6.22005929956557,3.81235962940141,12368,1,1
1,1,6.13372855763414,3.98861087630565,12268,1,1
1,1,6.23299456699979,4.20317659790247,12168,1,1
1,1,6.50701712511716,4.43701501936775,12068,1,1
1,1,6.93651916866423,4.66880012258055,11968,1,1
1,1,7.49401085523545,4.87745900149593,11868,1,1
1,1,8.15079018235318,5.04689682919532,11768,1,1
1,1,8.88064741668411,5.16756625813535,11668,1,1
1,1,9.65990836410662,5.23534227568478,11568,1,1
1,1,10.4672550740733,5.25039998083059,11468,1,1
1,1,11.2835619164735,5.21636069929692,11368,1,1
1,1,12.0917462642677,5.13967583012108,11268,1,1
1,1,12.8766330700752,5.02917855420587,11168,1,1
1,1,13.6248326891288,4.89571467142762,11068,1,1
1,1,14.3246313594724,4.75174843890668,10968,1,1
1,1,14.9658938108816,4.61081398416184,10868,1,1
1,1,15.5399775284412,4.48667263936577,10768,1,1
1,1,16.0396582518448,4.39208112368964,10668,1,1
1,1,16.4590663449233,4.33722992727932,10568,1,1
1,1,16.7936337192461,4.32816103530923,10468,1,1
1,1,17.0400510487263,4.36567891881542,10368,1,1
1,1,17.1962350571901,4.44520695615418,10268,1,1
1,1,17.261305713132,4.55765598898571,10168,1,1
1,1,17.2355732112541,4.69093922985093,10068,1,1
1,1,17.1205346649839,4.831598628105,9968,1,1
1,1,16.9188804889447,4.96615669299176,9868,1,1
1,1,16.6345104837394,5.08206774471705,9768,1,1
1,1,16.2725577806844,5.16832707249352,9668,1,1
1,1,15.8392670577439,5.21583630811119,9568,1,1
1,1,15.3412975242641,5.21753932589401,9468,1,1
1,1,14.7852484839177,5.16859200668111,9368,1,1
1,1,14.1776618377026,5.06679642118188,9268,1,1
1,1,13.5250723218638,4.91333072238932,9168,1,1
1,1,12.834058701708,4.71385679609577,9068,1,1
1,1,12.1112962255441,4.4800636789307,8968,1,1
1,1,11.3636860947311,4.23119524087224,8868,1,1
1,1,10.59915579936,3.99174530083182,8768,1,1
1,1,9.82767826225144,3.78461286256861,8668,1,1
1,1,9.06150402458852,3.62518724400574,8568,1,1
1,1,8.31523694977164,3.51711777316392,8468,1,1
1,1,7.60594218044076,3.45179395291459,8368,1,1
1,1,6.95327226825524,3.41269174769291,8268,1,1
1,1,6.37958925419488,3.3828300139998,8168,1,1
1,1,5.90918045639525,3.35188120958591,8068,1,1
1,1,5.56033532999922,3.31884088408315,7968,1,1
1,1,5.32639528661501,3.28707112249646,7868,1,1
1,1,5.18021557152271,3.25772148982203,7768,1,1
1,1,5.06766012310516,3.22859276309301,7668,1,1
1,1,4.88381422406062,3.20007063822714,7568,1,1
1,1,4.55756442868617,3.17628452119379,7468,1,1
1,1,4.14076544553508,3.15869516173366,7368,1,1
1,1,3.71859940060414,3.14509598279261,7268,1,1
1,1,3.32754826687276,3.13082554031528,7168,1,1
1,1,2.95633073882666,3.11274602303753,7068,1,1
1,1,2.56901168195531,3.09402210513986,6968,1,1
1,1,2.15067186694126,3.0812487947953,6868,1,1
1,1,1.73127187865787,3.0785829223588,6768,1,1
1,1,1.37974454620853,3.08623203076137,6668,1,1
1,1,1.14907463314477,3.10275128860023,6568,1,1
1,1,1.02175516561605,3.123288192081,6468,1,1
1,1,0.945775046185591,3.14084102393258,6368,1,1
1,1,0.91124058119953,3.14912294891385,6268,1,1
1,1,0.92953088796232,3.14467253375043,6168,1,1
1,1,0.995211659451013,3.13029672710676,6068,1,1
1,1,1.09078471636399,3.11445072542101,5968,1,1
1,1,1.21018303794787,3.10548983611619,5868,1,1
1,1,1.36662533120252,3.10752153997559,5768,1,1
1,1,1.580734971161,3.12141332300632,5668,1,1
1,1,1.84609786405228,3.14394045721915,5568,1,1
1,1,2.11334857920651,3.16710276739054,5468,1,1
1,1,2.30821734111756,3.18472192635812,5368,1,1
1,1,2.3810338047659,3.19372509228872,5268,1,1
1,1,2.32518379845656,3.19296665221636,5168,1,1
1,1,2.17040177688468,3.18523101681462,5068,1,1
1,1,1.95551822721493,3.17627616800235,4968,1,1
1,1,1.71657439517789,3.17219415716774,4868,1,1
1,1,1.47914953409228,3.17484342001243,4768,1,1
1,1,1.25468800282572,3.18060402204927,4668,1,1
1,1,1.04060965536628,3.18465705162288,4568,1,1
1,1,0.831271270578727,3.18549760536435,4468,1,1
1,1,0.631795851020141,3.18625833467611,4368,1,1
1,1,0.455573932132683,3.19225432671699,4268,1,1
1,1,0.315435917340219,3.20535034057678,4168,1,1
1,1,0.216991729992442,3.22128561773655,4068,1,1
1,1,0.15185914802365,3.23366193077831,3968,1,1
1,1,0.0989923422690479,3.24011273701588,3868,1,1
1,1,0.0385756266815589,3.24245707873199,3768,1,1
1,1,-0.032535524307751,3.2399135952999,3668,1,1
1,1,-0.0944833619194113,3.23025404819016,3568,1,1
1,1,-0.120901689324527,3.21772020364492,3468,1,1
1,1,-0.0910602008085707,3.21114431993585,3368,1,1
1,1,0.00899301895871728,3.21783074567086,3268,1,1
1,1,0.184579575867392,3.23906213467233,3168,1,1
1,1,0.428356197266839,3.26816877485713,3068,1,1
1,1,0.718674911484123,3.29275464010256,2968,1,1
1,1,1.01902517844923,3.30147863124291,2868,1,1
1,1,1.28413183829747,3.29182645954958,2768,1,1
1,1,1.47740159509238,3.27063337624219,2668,1,1
1,1,1.57767275090795,3.24923703649374,2568,1,1
1,1,1.57745892699808,3.23800556995627,2468,1,1
1,1,1.4834885436995,3.2398681970414,2368,1,1
1,1,1.3166045389045,3.25092155994606,2268,1,1
1,1,1.10696892735083,3.26467969145471,2168,1,1
1,1,0.885140599031001,3.27570087475999,2068,1,1
1,1,0.675449137268588,3.28134341162552,1968,1,1
1,1,0.494987581362948,3.28310972111065,1868,1,1
